Time,P_load,P_g1,P_g2,P_bess,Q_load,Q_g1,Q_g2,Q_bess,freq,volt,w_rotor,T_mech
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1.0,0.0
0.0032,0.0098027374479019,0.0050831926211863,0.0050831926211863,-0.0003636517173294,0.0030137694135374,0.0014059419811638,0.0014059419811638,0.00020194556704571,60.0,0.0078093508083621,1.0,0.0026335787929203
0.0064,0.10745515605791,0.054357238904543,0.054357238904543,-0.0012595824366373,0.068034985661783,0.033074142380661,0.033074142380661,0.0018871666323149,60.0,0.022030112550744,1.0,0.01273449920441
0.0096,0.33248260469054,0.16761281779437,0.16761281779437,-0.0027439877557425,0.32593089304156,0.15989328852567,0.15989328852567,0.0061458420700614,60.0,0.040576292537899,1.0,0.021901969371841
0.0128,0.63352932216227,0.31909699976317,0.31909699976317,-0.0046669212994195,0.79129545270258,0.38858533578839,0.38858533578839,0.014128300348595,60.0,0.06264826800996,1.0,0.029324224149467
0.016,1.0316596893465,0.51935540158904,0.51935540158904,-0.0070553632595431,1.3280607853202,0.65057639160688,0.65057639160688,0.026914692543978,60.0,0.087859691638784,1.0,0.042418483300772
0.0192,1.5823824548127,0.79608416037453,0.79608416037453,-0.0097929546198315,1.837459771394,0.89603086853099,0.89603086853099,0.045409282488766,60.0,0.11583262856411,1.0,0.057798510782713
0.0224,2.2431440539668,1.1279249734423,1.1279249734423,-0.012716765774107,2.2610334141935,1.0953993471094,1.0953993471094,0.070252075722916,60.0,0.14613714702783,1.0,0.06960694078409
0.0256,2.9285827662429,1.4723259801168,1.4723259801168,-0.016084876224677,2.5438585140408,1.220570951794,1.220570951794,0.10274172747444,60.0,0.17680928246935,1.0,0.077441622507538
0.0288,3.5715956810498,1.7959398435382,1.7959398435382,-0.020305630657298,2.6781713885373,1.2676984673738,1.2676984673738,0.14280909465322,60.0,0.20810038637422,1.0,0.080076479844317
0.032,4.1246060013889,2.0743436575618,2.0743436575618,-0.024110098760517,2.6809359669667,1.2452864483617,1.2452864483617,0.19040910585933,60.0,0.23977419577723,1.0,0.077726170724661
0.0352,4.560164405333,2.2945885371985,2.2945885371985,-0.029049832939913,2.5744544952246,1.163751853961,1.163751853961,0.24701016812949,60.0,0.27162166076281,1.0,0.072503902360492
0.0384,4.8769055522507,2.4554505769785,2.4554505769785,-0.034042466923155,2.3794022340763,1.0339126052739,1.0339126052739,0.31165176107935,60.0,0.30351004501783,1.0,0.066754206637922
0.0416,5.0925352533172,2.5656352318012,2.5656352318012,-0.03879312803376,2.1108817602048,0.86291367065705,0.86291367065705,0.38514655937488,60.0,0.3353735097007,1.0,0.06609811446575
0.0448,5.2337766219036,2.6397136908772,2.6397136908772,-0.045721055972867,1.8125320358097,0.67166332094434,0.67166332094434,0.46931701370881,60.0,0.36786200803483,1.0,0.068337615802657
0.048,5.3200840530301,2.6863682832175,2.6863682832175,-0.052736670406329,1.5134862520797,0.47627342300273,0.47627342300273,0.56107267572869,60.0,0.39969558444043,1.0,0.06757039136787
0.0512,5.3659788380675,2.7125673806098,2.7125673806098,-0.05925500257299,1.2296611006291,0.28392882194976,0.28392882194976,0.66196039327172,60.0,0.43151523732316,1.0,0.063952344804707
0.0544,5.3859561469122,2.7266477202102,2.7266477202102,-0.067450507306226,0.96604572279738,0.096439504815271,0.096439504815271,0.77334715458631,60.0,0.46332955510553,1.0,0.057177168131822
0.0576,5.4011226864205,2.7381894425328,2.7381894425328,-0.075375960215694,0.72146706898429,-0.0860914592113,-0.0860914592113,0.89385327122623,60.0,0.4951303857756,1.0,0.052522756151102
0.0608,5.4371105735383,2.7595221384363,2.7595221384363,-0.082058575688879,0.47662274007779,-0.27325623999311,-0.27325623999311,1.0233607875945,60.0,0.52691663449282,1.0,0.057331073785999
0.064,5.524804583904,2.8074731155152,2.8074731155152,-0.090268199067867,0.25705947497225,-0.45400667459398,-0.45400667459398,1.1653201399721,60.0,0.55934027150017,1.0,0.073234776672986
0.0672,5.6784620790612,2.8890340416095,2.8890340416095,-0.099731025146528,0.092524683107335,-0.61168295845856,-0.61168295845856,1.3161592664129,60.0,0.59112321263785,1.0,0.086259549163518
0.0704,5.8967909380899,3.0022828369387,3.0022828369387,-0.10789517106599,-0.0086654115862982,-0.74135927276737,-0.74135927276737,1.4743428215715,60.0,0.62291598838962,1.0,0.092282786375176
