Time,P_load,P_g1,P_g2,P_bess,Q_load,Q_g1,Q_g2,Q_bess,freq,volt,w_rotor,T_mech
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1.0,0.0
0.0032,0.0097935860572458,0.0048968209743258,0.0048968209743258,-2.5751191740408998e-12,0.0030266365852804,0.0015133184613461,0.0015133184613461,-2.5998720975643e-12,60.0,0.0077996146990958,1.0,0.0026214922304398
0.0064,0.10740435968136,0.053702400657024,0.053702400657024,-7.5183409319922e-12,0.068011942143682,0.034005971220172,0.034005971220172,-2.8329791869436e-11,60.0,0.022022295528885,1.0,0.01261398565458
0.0096,0.33227396130824,0.16613770676637,0.16613770676637,-2.3661243081861e-11,0.32568508950717,0.16284254488741,0.16284254488741,-6.3736285129811e-11,60.0,0.040558108565724,1.0,0.021768041943554
0.0128,0.63305331631799,0.31652833191086,0.31652833191086,-1.7643876631557e-11,0.79068638825952,0.39534319426002,0.39534319426002,-1.5695540450135e-10,60.0,0.062620373474286,1.0,0.029130777983537
0.016,1.0308143613636,0.51541036348866,0.51541036348866,-8.5537614366613e-11,1.3270026413936,0.66350132084139,0.66350132084139,-3.1810118331759003e-10,60.0,0.087820706885821,1.0,0.042120094045438
0.0192,1.5810271651009,0.79051894471238,0.79051894471238,-9.7023454716939e-11,1.8359558796453,0.91797793997379,0.91797793997379,-4.3598826282294e-10,60.0,0.11577912989977,1.0,0.057492823957857
0.0224,2.2412060329057,1.1206113196464,1.1206113196464,-9.2734052912917e-11,2.2591779245834,1.1295889624904,1.1295889624904,-8.045333501811401e-10,60.0,0.14606941567637,1.0,0.069289415391526
0.0256,2.9260502447867,1.4630372057419,1.4630372057419,-3.0091628425116004e-10,2.5418556616805,1.2709278310867,1.2709278310867,-1.082620503346e-09,60.0,0.1767278184893,1.0,0.076825192808092
0.0288,3.5685265427436,1.7842800406958,1.7842800406958,-1.2858355239706e-10,2.6760431383037,1.3380215694411,1.3380215694411,-1.462263602896e-09,60.0,0.20800210171255,1.0,0.079574417898875
0.032,4.1210448394772,2.0605448310048,2.0605448310048,-3.2389573018917005e-10,2.6788623605096,1.3394311806626,1.3394311806626,-2.1676029015802e-09,60.0,0.2396599573296,1.0,0.077309638844032
0.0352,4.5562784997768,2.2781682908457,2.2781682908457,-4.2813175658913003e-10,2.5725084287606,1.2862542148343,1.2862542148343,-2.4497506485575e-09,60.0,0.27149399510001,1.0,0.071546275897298
0.0384,4.8726932611733,2.4363833107185,2.4363833107185,-2.0314586694226002e-10,2.3776066316645,1.1888033164198,1.1888033164198,-3.3915943488005e-09,60.0,0.30336358592096,1.0,0.066307421871089
0.0416,5.0881134666849,2.5441020879939,2.5441020879939,-7.7851135694522e-10,2.1093609924384,1.054680496962,1.054680496962,-4.1670462303223e-09,60.0,0.33521350719767,1.0,0.065323099953009
0.0448,5.2292449909449,2.6146775932046,2.6146775932046,-4.4106988668393005e-10,1.811259489306,0.90562974545043,0.90562974545043,-4.6511105937708e-09,60.0,0.36768717190051,1.0,0.066923069429405
0.048,5.3154043126463,2.6577680956431,2.6577680956431,-6.100491042681401e-10,1.5124536813843,0.7562268417643,0.7562268417643,-6.3095775497211e-09,60.0,0.39950210206697,1.0,0.066875654476749
0.0512,5.3611924959588,2.6806741424147,2.6806741424147,-1.0987274514383e-09,1.2288730345835,0.61443651845792,0.61443651845792,-6.7235646934463e-09,60.0,0.43130945790742,1.0,0.062857508563388
0.0544,5.3810881453222,2.6906350427366,2.6906350427366,-3.2071291776383e-10,0.96544271544061,0.48272135903521,0.48272135903521,-7.857181908602e-09,60.0,0.46310885975864,1.0,0.055336217099154
0.0576,5.3961143407332,2.6981623394783,2.6981623394783,-1.0305969360182e-09,0.72103126948291,0.36051563635356,0.36051563635356,-9.2448118630202e-09,60.0,0.49489227145954,1.0,0.051602945728896
0.0608,5.4319311722832,2.7160860943404,2.7160860943404,-8.0469466324603e-10,0.47636242188865,0.23818121257349,0.23818121257349,-9.3074365190261e-09,60.0,0.52666415527899,1.0,0.056337368101292
0.064,5.5194551530124,2.7598645753949,2.7598645753949,-4.4006139062285006e-10,0.25697969496249,0.12848984942142,0.12848984942142,-1.0941062552597e-08,60.0,0.55907264520537,1.0,0.071087803179371
0.0672,5.6728244201609,2.8365668686311,2.8365668686311,-1.3341805644787e-09,0.092549813484512,0.046274908862715,0.046274908862715,-1.1413716347068e-08,60.0,0.59083967763335,1.0,0.084569920981994
0.0704,5.8907837533379,2.9455653697816,2.9455653697816,-4.4970120849277003e-10,-0.00855665855019,-0.0042783270826401,-0.0042783270826401,-1.1863167463608e-08,60.0,0.62261760343331,1.0,0.091105732022795
0.0736,6.1601216529487,3.0802543366164,3.0802543366164,-9.566368428293102e-10,-0.045684666634842,-0.022842330703804,-0.022842330703804,-1.3538073777351e-08,60.0,0.65440679690205,1.0,0.08757913752657
