t|Main,Pload|Main,Qload|Main,Pcmd_BESS|Main,Pcmd_gt|Main,f_poi_meas2|Main,f_poi_meas|Main
0.096,39.32988094,-2.833693914,0,4.911795216,60,60
0.097,39.75370649,-2.855860983,0,4.965537836,60,60
0.098,40.90010508,-3.012454706,0,5.103618261,60,60
0.099,41.93050305,-2.265431173,0,5.238140351,60,60
0.1,42.42611133,-2.564410369,0,5.297474202,59.96322258,59.96322258
0.101,43.73130877,-2.439066317,0,5.458217245,59.93106676,59.93106676
0.102,44.3958583,-1.741459544,0,5.54883427,59.92846022,59.92846022
0.103,44.67704155,-2.225427022,0,5.5801395,59.92618123,59.92618123
0.104,45.49436778,-1.939412989,0,5.683255022,59.93655981,59.93655981
0.105,45.41043783,-1.678798699,0,5.678960575,59.94563417,59.94563417
0.106,45.54162098,-2.141285426,0,5.688940351,59.95356822,59.95356822
0.107,46.09056394,-1.690904663,0,5.76034984,59.96050524,59.96050524
0.108,45.78213743,-1.72429861,0,5.724294934,59.96050524,59.96050524
0.109,46.15278737,-1.98212909,0,5.764344613,59.94967975,59.94967975
0.11,46.64311023,-1.349890359,0,5.830731896,59.94021463,59.94021463
0.111,46.4178369,-1.594338426,0,5.80151765,59.95890266,59.95890266
0.112,47.02962206,-1.61521194,0,5.873702171,59.97524228,59.97524228
0.113,47.32666351,-0.952082651,0,5.917427679,59.98818615,59.98818615
0.114,47.2123597,-1.375922899,0,5.899189895,59.99950345,59.99950345
0.115,47.88474696,-1.145962999,0,5.981761708,60.00939857,60.00939857
0.116,47.90082379,-0.652167593,0,5.990055274,60.01805023,60.01805023
0.117,47.96244664,-1.123326159,0,5.991671932,60.07883539,60.07883539
0.118,48.60124905,-0.663032222,0,6.073012574,60.13198206,60.13198206
0.119,48.39532601,-0.454570117,0,6.051558359,60.17845013,60.17845013
0.12,48.65656353,-0.755204326,0,6.077778055,60.1754908,60.1754908
0.121,49.15231293,-0.124247346,0,6.144047797,60.17290335,60.17290335
0.122,48.82457562,-0.201756241,0,6.103879292,60.23365518,60.23365518
0.123,49.23869021,-0.292132354,0,6.15056702,60.28677271,60.28677271
0.124,49.49930427,0.40562384,0,6.189385838,60.33321529,60.33321529
0.125,49.17084596,0.093303786,0,6.145714591,60.28986062,60.28986062
0.126,49.67615515,0.232276661,0,6.205926691,60.25195406,60.25195406
0.127,49.67740756,0.859482415,0,6.212776822,60.21881098,60.21881098
0.128,49.49345079,0.412542622,0,6.184494617,60.17289519,60.17289519
0.129,50.04439663,0.780085154,0,6.253128213,60.13274935,60.13274935
0.13,49.8309594,1.178868386,0,6.232152467,60.15767383,60.15767383
0.131,49.88408015,0.788728004,0,6.23208118,60.1794662,60.1794662
0.132,50.38558833,1.355333708,0,6.297483521,60.19852007,60.19852007
0.133,50.03877076,1.432336554,0,6.256750411,60.21517956,60.21517956
0.134,50.32462085,1.244349264,0,6.286558718,60.17101675,60.17101675
0.135,50.66194846,1.930730562,0,6.334078679,60.1324036,60.1324036
0.136,50.28787001,1.731121646,0,6.286228229,60.11832074,60.11832074
0.137,50.72540865,1.772132632,0,6.336897419,60.10600758,60.10600758
0.138,50.8189489,2.463203742,0,6.355177807,59.99597917,59.99597917
0.139,50.52411058,2.081917195,0,6.314250745,59.89977733,59.89977733
0.14,51.0270574,2.356926818,0,6.375577112,59.81566457,59.81566457
0.141,50.86763887,2.904394937,0,6.362056629,59.74212174,59.74212174
0.142,50.74630346,2.463833151,0,6.34073681,59.76971104,59.76971104
0.143,51.23267792,2.944077228,0,6.402804814,59.79383337,59.79383337
0.144,50.87821146,3.188536311,0,6.36289941,59.82314283,59.82314283
0.145,50.99152665,2.894625015,0,6.370491281,59.84876915,59.84876915
0.146,51.37133931,3.529147342,0,6.422062829,59.87117518,59.87117518
0.147,50.94310107,3.452286003,0,6.369284921,59.84866076,59.84866076
0.148,51.26944234,3.365071134,0,6.404924918,59.82897559,59.82897559
0.149,51.45892638,4.061685141,0,6.434682183,59.81176413,59.81176413
0.15,51.08713633,3.751333272,0,6.385496259,59.82400611,59.82400611
0.151,51.54858634,3.905603554,0,6.4402992,59.83470972,59.83470972
0.152,51.5010097,4.540336167,0,6.440980098,59.84406827,59.84406827
0.153,51.27563593,4.105214677,0,6.407553236,59.84095634,59.84095634
0.154,51.77084001,4.488205548,0,6.469336415,59.83823546,59.83823546
0.155,51.49213698,4.895173526,0,6.440206157,59.91270777,59.91270777
