t|Main,Q_g8|LM2500_8,V_g8|LM2500_8,freq_gt_8|LM2500_8,Vlow_gt_8|LM2500_8,P_g8|LM2500_8
11.627,2.321657761,1.010578512,59.40820319,1.005213471,7.468064292
11.628,2.275797819,1.010773071,59.41133316,1.00613565,7.432756972
11.629,2.28295596,1.010500918,59.430277,1.006806987,7.450210043
11.63,2.317211226,1.010566155,59.44684029,1.005133077,7.445751011
11.631,2.266957345,1.01067923,59.46132217,1.006418333,7.422468316
11.632,2.294923463,1.010422171,59.47778466,1.006404949,7.447977453
11.633,2.317558143,1.010590274,59.49217841,1.005256471,7.431818801
11.634,2.274070724,1.010594008,59.50476339,1.006678539,7.416331755
11.635,2.308636635,1.010320934,59.52720746,1.005759662,7.441039152
11.636,2.301886337,1.010641924,59.54683112,1.005413919,7.416481995
11.637,2.275616382,1.010471654,59.56055479,1.006791899,7.418228321
11.638,2.331035831,1.010326023,59.57255388,1.005263153,7.436360421
11.639,2.305438209,1.010596141,59.58304513,1.005664777,7.401883938
11.64,2.297217322,1.010399798,59.59311518,1.006784096,7.409915742
11.641,2.341280464,1.010298987,59.60191979,1.00497542,7.417202594
11.642,2.297866414,1.010480708,59.60961799,1.005909093,7.38656453
11.643,2.30555265,1.010210414,59.61513065,1.006578527,7.40826027
11.644,2.346828212,1.010274666,59.61995058,1.004941623,7.405220624
11.645,2.294493904,1.010387045,59.62416481,1.006198985,7.38036124
11.646,2.316495684,1.010096371,59.62332207,1.006192164,7.406564597
11.647,2.333360779,1.010293741,59.62258524,1.004974634,7.394698558
11.648,2.289881251,1.010313189,59.62194099,1.006402886,7.385929534
11.649,2.334233714,1.010073434,59.61443673,1.005540969,7.413778246
11.65,2.333058904,1.010369886,59.60787547,1.005159728,7.389604923
11.651,2.307074622,1.010246632,59.59208517,1.006546304,7.38840771
11.652,2.351815768,1.010040167,59.57827914,1.004982046,7.408655013
11.653,2.325346964,1.010299368,59.56620802,1.005381633,7.379661878
11.654,2.317712547,1.010018655,59.54271124,1.006514256,7.393598438
11.655,2.372636245,1.009974044,59.52216715,1.004692492,7.403278282
11.656,2.329476155,1.010180312,59.50420471,1.00563962,7.371422866
11.657,2.343413564,1.009913583,59.48617675,1.006315197,7.389307834
11.658,2.384186567,1.009981495,59.47041424,1.004595994,7.384930713
11.659,2.337550791,1.010127371,59.45663251,1.005878503,7.359773712
11.66,2.36730547,1.009843996,59.43796011,1.005892101,7.382923184
11.661,2.391613301,1.010000967,59.42163415,1.004667389,7.364717507
11.662,2.346135749,1.010037805,59.40735977,1.006083262,7.346680171
11.663,2.377272855,1.009731142,59.39823874,1.005198416,7.370054938
11.664,2.367496809,1.010043363,59.39026389,1.004829928,7.346448457
11.665,2.336212197,1.009869502,59.39068245,1.006201584,7.349557454
11.666,2.386010686,1.009713654,59.39104841,1.004648423,7.372036911
11.667,2.357925635,1.009980993,59.39136838,1.0050443,7.344014044
11.668,2.346766048,1.00975286,59.40062188,1.006192282,7.357287981
11.669,2.390875329,1.009714557,59.40871256,1.00438544,7.370943159
11.67,2.348413485,1.009932725,59.41578652,1.005329476,7.345866466
11.671,2.360825792,1.009653264,59.43516113,1.006036283,7.370738922
11.672,2.407898458,1.009670463,59.45210105,1.004297695,7.37032575
11.673,2.359630139,1.009794484,59.46691224,1.005594163,7.345965836
11.674,2.384121392,1.00951859,59.48332062,1.005590824,7.370995211
11.675,2.404498544,1.009703605,59.49766706,1.004398762,7.358109261
11.676,2.362339042,1.009711855,59.51021068,1.00583271,7.346769136
11.677,2.407255843,1.009464577,59.52971722,1.00494202,7.372637377
11.678,2.408293413,1.00979403,59.5467725,1.004568345,7.347978601
11.679,2.380409647,1.00968208,59.55982168,1.005946978,7.344977964
11.68,2.422936786,1.009498312,59.57123105,1.00441284,7.364845413
11.681,2.395870722,1.009762677,59.58120668,1.004806158,7.3360168
11.682,2.383621967,1.009525578,59.59257301,1.005931321,7.35006607
11.683,2.434584847,1.009442876,59.602511,1.00410725,7.361851954
11.684,2.389530733,1.009620058,59.61120015,1.005046092,7.333533514
11.685,2.395726345,1.009325948,59.61071476,1.00572764,7.355908307
11.686,2.432941602,1.009409822,59.61029036,1.004042303,7.35807932
11.687,2.386157587,1.009530337,59.6099193,1.005331949,7.338902691
11.688,2.416255385,1.009239994,59.61054309,1.005357783,7.367451405
11.689,2.444962341,1.009466498,59.6110885,1.004140623,7.355204838
11.69,2.402889661,1.009474616,59.61156537,1.005577747,7.339945589
11.691,2.439753571,1.009197216,59.5952928,1.004712282,7.364635405
11.692,2.437334316,1.009520836,59.5810651,1.004309915,7.340950487
11.693,2.410668601,1.00933645,59.56314236,1.005699902,7.340659814
11.694,2.463670449,1.009162535,59.54747185,1.004135304,7.35917704
11.695,2.439346986,1.009439864,59.53377055,1.004529662,7.326845099
11.696,2.431294843,1.009219889,59.51169003,1.005664347,7.334413973
11.697,2.475838627,1.009166793,59.49238422,1.00383439,7.343829946
11.698,2.434781494,1.009351728,59.47550446,1.004796762,7.313871083
11.699,2.444882855,1.009093331,59.45753247,1.005479009,7.333793668
11.7,2.489310246,1.009147235,59.44181891,1.00378446,7.330920053
11.701,2.438243054,1.009288077,59.42807998,1.00506612,7.304201694
11.702,2.461133917,1.008986198,59.41846698,1.005078589,7.328025673
11.703,2.480445524,1.009213439,59.41006199,1.00383868,7.314770639
11.704,2.436990119,1.009189845,59.40271321,1.005271667,7.302110142
11.705,2.478511173,1.008905606,59.39747528,1.004429391,7.327019434
11.706,2.476732306,1.009205229,59.39289557,1.004032155,7.302295862
11.707,2.447012077,1.009083111,59.40394121,1.005416339,7.299413118
11.708,2.486317506,1.008907535,59.41359882,1.00390079,7.321297437
11.709,2.457985842,1.009194438,59.42204281,1.004299925,7.29455218
11.71,2.446647913,1.008962298,59.43406863,1.005451352,7.309531256
11.711,2.499337706,1.008910845,59.44458325,1.003633114,7.322136567
11.712,2.455058121,1.009131801,59.45377655,1.004574453,7.293477419
11.713,2.462808424,1.008872155,59.47462302,1.005274246,7.314811639
11.714,2.499560529,1.008929093,59.49284985,1.003532392,7.317007686
11.715,2.452733344,1.009029947,59.50878623,1.004830061,7.297331915
11.716,2.482498737,1.008779211,59.5236099,1.004866286,7.325249468
11.717,2.510082729,1.008975997,59.53657078,1.003667972,7.313366915
11.718,2.467858948,1.008953755,59.54790294,1.005097057,7.298330328
11.719,2.503387013,1.008658982,59.5632903,1.004212761,7.324415677
11.72,2.500118957,1.008995975,59.57674402,1.003845419,7.303048245
11.721,2.472340452,1.008848442,59.58792976,1.005223527,7.304375506
11.722,2.526615625,1.00867677,59.59770985,1.003695235,7.324423543
11.723,2.50231871,1.008949696,59.60626094,1.004089666,7.293553478
11.724,2.492647145,1.008766268,59.61201028,1.005222679,7.302374977
11.725,2.536193948,1.008650875,59.61703714,1.003376757,7.313592886
11.726,2.494513957,1.008854155,59.6214323,1.004313196,7.285690846
11.727,2.503465607,1.008577713,59.62315325,1.005020832,7.307858623
11.728,2.547716582,1.008630322,59.62465795,1.003356175,7.30784406
11.729,2.495832226,1.008741659,59.62597355,1.0046196,7.283152547
11.73,2.517578996,1.008473314,59.62062233,1.00463276,7.30913173
11.731,2.536304829,1.008680819,59.61594357,1.003401647,7.299651078
11.732,2.492130363,1.008653513,59.61185275,1.004836653,7.290003316
11.733,2.535689612,1.008404464,59.59489996,1.003992325,7.317778025
11.734,2.536053005,1.00871565,59.58007751,1.003581486,7.296239749
11.735,2.508557519,1.008605271,59.55961717,1.004977873,7.294502728
11.736,2.551865318,1.008385364,59.54172795,1.003433706,7.316847133
11.737,2.527099696,1.008668662,59.52608676,1.003821328,7.289998646
11.738,2.518364217,1.008432406,59.50286939,1.004966999,7.303575902
11.739,2.573608077,1.008389194,59.4825696,1.003159964,7.315251649
11.74,2.529814233,1.00856932,59.46482076,1.004099372,7.284365913
11.741,2.536057027,1.00831405,59.44683672,1.004771461,7.303473827
11.742,2.572693407,1.008381221,59.43111263,1.003058332,7.304840196
11.743,2.523305002,1.008523496,59.41736448,1.004346156,7.284046551
11.744,2.550827962,1.00826044,59.40754855,1.004387722,7.311743784
11.745,2.577531992,1.008450933,59.39896612,1.003155816,7.30095524
11.746,2.533160033,1.00845906,59.39146219,1.004572235,7.286228056
11.747,2.567032876,1.008178819,59.39194768,1.003734426,7.313298055
11.748,2.563096101,1.008484458,59.39237216,1.003336202,7.293207202
11.749,2.534211926,1.008317746,59.40578306,1.004720437,7.295440696
11.75,2.587481922,1.008170804,59.4175087,1.003173675,7.317654497
11.751,2.563255612,1.008449976,59.42776085,1.003562619,7.288520299
11.752,2.551984527,1.008239911,59.44578546,1.004702459,7.298388068
11.753,2.596859565,1.008179967,59.46154502,1.002896767,7.31140611
11.754,2.555196932,1.008386644,59.47532419,1.003840854,7.284773369
11.755,2.565277715,1.008119203,59.4954236,1.00455054,7.30741895
11.756,2.611977856,1.00817305,59.51299725,1.002828948,7.30792758
11.757,2.562219662,1.00827372,59.52836252,1.00411609,7.282502144
11.758,2.584194118,1.008000639,59.54800133,1.004128747,7.307516301
11.759,2.604900497,1.008190937,59.56517225,1.002915858,7.296881533
11.76,2.55925977,1.008177339,59.58018542,1.004347928,7.285571128
11.761,2.600194648,1.007934688,59.59463575,1.003482713,7.313283822
11.762,2.599688481,1.008236138,59.6072702,1.003112636,7.291725787
11.763,2.568767074,1.008136673,59.61475579,1.004483281,7.290124268
11.764,2.611227552,1.007960845,59.62130072,1.002947091,7.313508192
11.765,2.585662838,1.008233477,59.62702318,1.003355754,7.287952836
11.766,2.575716175,1.007987811,59.63331868,1.004489463,7.302551637
11.767,2.630518311,1.007926917,59.63882307,1.002654197,7.315981894
11.768,2.588430172,1.008138477,59.64363576,1.003597247,7.286175873
11.769,2.595702359,1.007884019,59.63891032,1.004287049,7.305889338
11.77,2.634665855,1.007929307,59.63477869,1.0025767,7.307257353
11.771,2.587330525,1.008062178,59.63116626,1.003863204,7.285496863
11.772,2.615866962,1.007800974,59.62249722,1.003888782,7.312236539
11.773,2.644284645,1.008005503,59.61491757,1.002684248,7.299959978
11.774,2.599229383,1.008020037,59.6082904,1.004105602,7.282920809
11.775,2.634070615,1.007738773,59.58838608,1.003224985,7.307981488
11.776,2.630506591,1.008060494,59.57098301,1.002836909,7.286308907
11.777,2.601793024,1.007896968,59.54688754,1.004223286,7.286214885
11.778,2.6537139,1.007720063,59.52582,1.002652441,7.307540365
11.779,2.629261717,1.007983629,59.50739988,1.003051091,7.276891654
11.78,2.622117939,1.007777222,59.48719136,1.004183215,7.284753887
11.781,2.669308352,1.00772065,59.46952231,1.002328432,7.295592727
11.782,2.628763241,1.007898308,59.45407362,1.003293134,7.265075895
11.783,2.638954852,1.007625329,59.43685879,1.003967034,7.283884699
11.784,2.684718003,1.007679515,59.42180723,1.002287083,7.281295058
11.785,2.631820101,1.007823618,59.40864711,1.003562355,7.252757348
11.786,2.650254611,1.007534407,59.40245623,1.003564384,7.276535843
11.787,2.666481944,1.007742915,59.39704332,1.002360222,7.266066518
11.788,2.619527594,1.00775634,59.39231061,1.003788783,7.255263746
11.789,2.659300651,1.007502624,59.39479633,1.002948825,7.284513443
11.79,2.658070141,1.007806154,59.39696968,1.002548744,7.26398763
11.791,2.628278384,1.007694229,59.41284778,1.003928246,7.263238189
11.792,2.670150082,1.007534819,59.42673059,1.00241328,7.288205964
11.793,2.643963661,1.007800546,59.43886883,1.002807541,7.262976154
11.794,2.634831223,1.007586657,59.4565045,1.003946873,7.277594055
11.795,2.690517194,1.007521144,59.471924,1.002151538,7.291156859
11.796,2.64801196,1.007718784,59.48540583,1.003102149,7.261039568
11.797,2.65574346,1.007462317,59.50400778,1.00378182,7.28058138
11.798,2.693494835,1.007522655,59.52027214,1.002069535,7.28218325
11.799,2.646141631,1.007630122,59.53449266,1.003374822,7.260439416
11.8,2.675112691,1.007361582,59.55076037,1.003394186,7.287484666
11.801,2.702888042,1.007532069,59.56498381,1.00219862,7.275438073
11.802,2.658209004,1.007562169,59.57741988,1.003609983,7.25911421
11.803,2.692565858,1.007311505,59.58815425,1.002749361,7.285830546
11.804,2.688675225,1.007599044,59.5975397,1.002391861,7.26451112
11.805,2.66125109,1.007478048,59.60871688,1.003759368,7.265104356
11.806,2.716991319,1.007318768,59.61848949,1.002236197,7.2857753
11.807,2.69366976,1.00758675,59.62703403,1.002656231,7.253946579
11.808,2.682638881,1.007393396,59.62701169,1.003771714,7.261227416
11.809,2.724913105,1.007306155,59.62699216,1.001976825,7.272314933
11.81,2.681577281,1.007491405,59.62697508,1.002918331,7.243377636
11.811,2.68887908,1.007238117,59.62841913,1.00360285,7.265321951
11.812,2.732460176,1.007255219,59.62968171,1.001926641,7.26588047
11.813,2.678540755,1.007367295,59.63078564,1.003186018,7.241063497
11.814,2.698275354,1.007086613,59.61842405,1.003192241,7.268530694
11.815,2.716314243,1.007314374,59.60761586,1.002003068,7.260135584
11.816,2.671529799,1.007306774,59.59816588,1.003433837,7.251048663
11.817,2.714835323,1.007058267,59.58169825,1.002576513,7.280791026
11.818,2.715958045,1.007376245,59.56730001,1.002218557,7.26046517
11.819,2.688808192,1.007295875,59.54498885,1.003593878,7.258869757
11.82,2.731801503,1.007105456,59.5254814,1.002068089,7.282537072
11.821,2.707241177,1.007363996,59.50842533,1.002473232,7.255444238
11.822,2.697994422,1.007140338,59.48652125,1.003591273,7.268852942
11.823,2.752998658,1.007102562,59.46736972,1.001799227,7.280913405
11.824,2.709199236,1.007293464,59.45062484,1.002741267,7.249498092
11.825,2.716609123,1.007037913,59.43693838,1.003389546,7.268624279
11.826,2.754407689,1.007102955,59.42497181,1.001740729,7.269345314
11.827,2.706355655,1.00723724,59.414509,1.003021092,7.246931024
11.828,2.734858196,1.006970903,59.40708662,1.003031384,7.273566088
11.829,2.761489771,1.007160441,59.40059697,1.00186643,7.260778665
11.83,2.717209065,1.007175748,59.39492283,1.003265156,7.243844958
11.831,2.749402441,1.006893023,59.40282151,1.002412897,7.26992463
11.832,2.74355291,1.007219568,59.40972761,1.002045179,7.247664022
11.833,2.71228064,1.007080125,59.42328151,1.003409381,7.248667038
11.834,2.762897594,1.006937982,59.43513218,1.001893025,7.270444231
11.835,2.734725539,1.007201749,59.44549365,1.002299235,7.240266015
11.836,2.72048705,1.007028747,59.46756081,1.003420525,7.25088045
11.837,2.761598878,1.006958022,59.48685493,1.001653056,7.265327747
11.838,2.717029657,1.007160264,59.50372448,1.00261712,7.239432509
11.839,2.724331162,1.006911839,59.52136367,1.003297398,7.264371378
11.84,2.767359377,1.007007656,59.53678625,1.001675275,7.266653738
11.841,2.714662256,1.007128791,59.55027077,1.002954446,7.243189214
11.842,2.734511018,1.006865192,59.56953339,1.002952215,7.271436998
11.843,2.751831414,1.007093986,59.5863754,1.001776351,7.262459079
11.844,2.704531177,1.007111884,59.60110097,1.003191817,7.253115921
11.845,2.745069067,1.006902796,59.6114851,1.002350453,7.283034834
11.846,2.741588091,1.007205411,59.62056432,1.002018516,7.261738185
11.847,2.70956459,1.007121506,59.62741839,1.003375509,7.261894803
11.848,2.749770308,1.006947527,59.63341115,1.00184952,7.287396821
11.849,2.720554374,1.007248751,59.63865083,1.002286816,7.262552927
11.85,2.708844374,1.007029767,59.64229466,1.003400214,7.279749693
11.851,2.761092317,1.00698168,59.64548059,1.001653802,7.295158709
