t|Main,P_g6|LM2500_6,Q_g6|LM2500_6,V_g6|LM2500_6,freq_gt_6|LM2500_6,Vlow_gt_6|LM2500_6
0.089,4.212278288,-1.132303524,0.808536365,60,0.69207737
0.09,4.348555249,-1.13190988,0.81827014,60,0.702711672
0.091,4.422492295,-1.090239186,0.82803189,60,0.710578193
0.092,4.501206496,-1.171415888,0.838404126,60,0.722209707
0.093,4.647577232,-1.138972352,0.848147345,60,0.731870146
0.094,4.706583878,-1.122808063,0.857908145,60,0.740467168
0.095,4.817956672,-1.191431521,0.868276636,60,0.752312657
0.096,4.961536608,-1.13267169,0.878030325,60,0.76074787
0.097,5.015103358,-1.154312359,0.887779542,60,0.770590641
0.098,5.159029746,-1.194542058,0.898152419,60,0.782301674
0.099,5.289446032,-1.120653831,0.907915112,60,0.789956091
0.1,5.351343506,-1.179017298,0.918300515,60,0.800869198
0.101,5.513910657,-1.182097817,0.927713386,60.00000459,0.811843858
0.102,5.59716924,-1.113965336,0.936555544,60.00003337,0.818659699
0.103,5.630931982,-1.194070578,0.945292489,60.00005853,0.829133639
0.104,5.732093339,-1.173692814,0.952891293,60.0000958,0.837831377
0.105,5.721012715,-1.157413746,0.959926756,60.00012839,0.843882169
0.106,5.736765244,-1.232159175,0.966751899,60.00015688,0.853464974
0.107,5.804907426,-1.189654191,0.972586369,60.00016062,0.859734248
0.108,5.764470793,-1.20755041,0.977858292,60.0001639,0.865819791
0.109,5.810795254,-1.253428799,0.982842168,60.00016676,0.874315996
0.11,5.871853456,-1.18662042,0.986957222,60.00013038,0.878501791
0.111,5.842520438,-1.230016112,0.990510407,60.00009856,0.884885906
0.112,5.918507311,-1.24302127,0.993678759,60.00007075,0.892080965
0.113,5.955919426,-1.171330828,0.996093725,60.0000351,0.894960696
0.114,5.940549942,-1.235935202,0.998036688,60.00000394,0.901411111
0.115,6.024378907,-1.215317587,0.999283783,59.99999221,0.907076674
0.116,6.026218623,-1.162917107,0.999973972,59.99998196,0.909424228
0.117,6.033587334,-1.232526173,1.000110675,59.99997299,0.915686342
0.118,6.112660405,-1.181183211,1.000104632,59.99999305,0.919583751
0.119,6.086307102,-1.16360351,1.000090116,60.00001058,0.922124886
0.12,6.119327673,-1.209354551,1.000073469,60.00002591,0.927928926
0.121,6.181781576,-1.13695526,1.000058042,60.00004583,0.929955644
0.122,6.139333599,-1.153814166,1.000047045,60.00006326,0.933266428
0.123,6.191567266,-1.171790492,1.000041471,60.00007849,0.938332247
0.124,6.224071225,-1.090752409,1.000034972,60.00008421,0.939098313
0.125,6.182240993,-1.136954619,1.000034989,60.00008921,0.943004596
0.126,6.245002943,-1.123256907,1.000034516,60.00008912,0.947046581
0.127,6.246062549,-1.050850811,1.000033492,60.00008903,0.947267947
0.128,6.222681997,-1.113625631,1.00002939,60.00008896,0.951469199
0.129,6.290973827,-1.070740833,1.00002824,60.00008042,0.954199474
0.13,6.263996093,-1.025310606,1.000022544,60.00007295,0.954575534
0.131,6.270800144,-1.079905342,1.000017906,60.00006643,0.958760577
0.132,6.333380379,-1.011967501,1.000013023,60.00006223,0.959895027
0.133,6.289597931,-1.006179584,1.000008456,60.00005856,0.961097293
0.134,6.325381123,-1.034255618,1.000003521,60.00005535,0.964948307
0.135,6.368146797,-0.951945049,0.999999333,60.0000564,0.964715314
0.136,6.319849892,-0.980861619,0.999995183,60.00005731,0.966895609
0.137,6.374464292,-0.978060527,0.999991742,60.0000632,0.970091786
0.138,6.386446133,-0.89481304,0.999987839,60.00006835,0.969166989
0.139,6.348303341,-0.946660362,0.99998246,60.00007285,0.971997676
0.14,6.411476598,-0.913392219,0.999978889,60.00007906,0.974219855
0.141,6.391858757,-0.847767013,0.999974169,60.00008448,0.973291726
0.142,6.376362763,-0.907004097,0.999969563,60.00008923,0.976437778
0.143,6.436996974,-0.847908186,0.999968522,60.0000869,0.977370808
0.144,6.391686259,-0.819346932,0.999962556,60.00008486,0.977093209
0.145,6.406113513,-0.859436543,0.999959504,60.00008308,0.980215961
0.146,6.454632639,-0.781425494,0.999954391,60.00007813,0.979692097
0.147,6.399279434,-0.793004456,0.999951806,60.00007381,0.980578146
0.148,6.440479094,-0.805690868,0.999949675,60.00006668,0.983337231
0.149,6.465850797,-0.720518767,0.99994475,60.00006045,0.981909083
0.15,6.417582842,-0.762350331,0.999940285,60.000055,0.983728713
0.151,6.475511499,-0.743348251,0.999937452,60.0000557,0.985785578
0.152,6.470298067,-0.66598425,0.999931918,60.00005631,0.984118339
0.153,6.44216381,-0.723318785,0.999928875,60.00005685,0.986522848
0.154,6.503718934,-0.674717108,0.99992515,60.00006257,0.987543845
0.155,6.468900541,-0.625639429,0.999919612,60.00006758,0.986293415
0.156,6.466980145,-0.676370599,0.999918658,60.00007196,0.988931035
0.157,6.520282796,-0.605269679,0.999914845,60.00007334,0.988593376
0.158,6.465907233,-0.59644974,0.999910786,60.00007456,0.988395325
0.159,6.491706575,-0.623181653,0.999909111,60.00007086,0.990914112
0.16,6.525560715,-0.539801787,0.999904252,60.00006762,0.989413945
0.161,6.468960075,-0.56815337,0.999902502,60.00006479,0.990389531
0.162,6.516580903,-0.565707189,0.9999006,60.0000576,0.992439518
0.163,6.523854425,-0.483112794,0.999895452,60.00005132,0.99042487
0.164,6.481797228,-0.535819864,0.999892863,60.00004582,0.992219388
0.165,6.541385894,-0.502922377,0.999889476,60.00004468,0.993455706
0.166,6.519527314,-0.437699387,0.999885477,60.00004368,0.991590173
0.167,6.503309735,-0.497080999,0.99988387,60.00004281,0.993844536
0.168,6.561738734,-0.437323367,0.999879603,60.00004477,0.993929192
0.169,6.51481391,-0.408667697,0.999876487,60.00004648,0.992844457
0.17,6.527264875,-0.448259545,0.999872577,60.00004917,0.99519925
0.171,6.571573028,-0.370141864,0.99987017,60.00005153,0.993944801
0.172,6.51404381,-0.381401449,0.999865921,60.00005359,0.994135392
0.173,6.550909929,-0.394002916,0.999863431,60.00005647,0.996232864
0.174,6.571650908,-0.309426384,0.999860557,60.00005899,0.994175356
0.175,6.519886836,-0.35209103,0.999856625,60.00006119,0.995396213
0.176,6.573599415,-0.334629168,0.999853103,60.00005997,0.996883386
0.177,6.564962791,-0.259080787,0.999851703,60.00005891,0.994674585
0.178,6.532558387,-0.319650788,0.999848632,60.00005799,0.996564123
0.179,6.591596242,-0.273791764,0.999845066,60.00005786,0.997095104
0.18,6.554790208,-0.226526402,0.999842482,60.00005775,0.995379178
0.181,6.552364022,-0.28043879,0.999840848,60.00005765,0.997573986
0.182,6.604522798,-0.211187428,0.999837551,60.00005324,0.996814983
0.183,6.550006155,-0.205292706,0.999836354,60.00004939,0.996216581
0.184,6.576120614,-0.23322624,0.999831784,60.00005171,0.998354346
0.185,6.609656362,-0.151592905,0.99982943,60.00005375,0.996491641
0.186,6.55268667,-0.181339767,0.999826942,60.00005553,0.997122269
0.187,6.599748976,-0.180234161,0.999825261,60.00005535,0.99884399
0.188,6.605805394,-0.098422139,0.999822204,60.00005519,0.996516952
0.189,6.562200176,-0.152882776,0.999817934,60.00005505,0.998014121
0.19,6.619935564,-0.121121439,0.99981732,60.00005759,0.998967496
0.191,6.595157933,-0.05769129,0.999813795,60.00005981,0.996832856
0.192,6.577064876,-0.119433829,0.999812451,60.00006174,0.998831182
0.193,6.633880715,-0.062740895,0.999810791,60.00005966,0.998672156
0.194,6.585031238,-0.037384228,0.99980503,60.00005785,0.997356005
0.195,6.596316162,-0.080967912,0.999803606,60.0000511,0.999490665
0.196,6.641125217,-0.00556776,0.999801401,60.0000452,0.99802667
0.197,6.58240793,-0.020510205,0.999799508,60.00004005,0.998018534
0.198,6.620226022,-0.036387117,0.99979612,60.00003926,0.999926761
0.199,6.639948108,0.045595406,0.999795036,60.00003857,0.997689299
0.2,6.589184058,0.000730071,0.999791254,60.00003797,0.998739113
0.201,6.642886832,0.015864747,0.999787142,60.00003601,1.00006347
0.202,6.634428745,0.089457525,0.999787098,60.0000343,0.997699797
0.203,6.603923119,0.027593204,0.999784351,60.00003281,0.999441847
0.204,6.662418788,0.071814034,0.999780412,60.00003589,0.999832443
0.205,6.625763627,0.116625422,0.99977757,60.00003859,0.997982905
0.206,6.622239403,0.061316256,0.999777785,60.00003645,1.000050587
0.207,6.674523242,0.127815406,0.99977392,60.00003458,0.999170483
0.208,6.618569414,0.131570211,0.999773424,60.00003294,0.998457032
0.209,6.643638322,0.100434228,0.999771296,60.00003092,1.000485289
0.21,6.676766824,0.179326735,0.999767107,60.00002915,0.998518368
0.211,6.619384622,0.146169672,0.999767512,60.00002761,0.999050126
0.212,6.6661238,0.144518989,0.99976581,60.00003089,1.000677676
0.213,6.67154547,0.222823192,0.999762147,60.00003376,0.998261222
0.214,6.628919957,0.165335241,0.99976157,60.00003627,0.999673487
0.215,6.686385172,0.194342138,0.999757349,60.00003679,1.000545961
0.216,6.663052815,0.254778579,0.999756409,60.00003725,0.998334519
0.217,6.645194264,0.189825684,0.999754092,60.00003853,1.000259773
0.218,6.702795144,0.245043027,0.999753254,60.00003966,1.00003112
0.219,6.65449921,0.268084899,0.999750915,60.00004064,0.998648834
0.22,6.666407176,0.22399004,0.99974675,60.00004199,1.000720431
0.221,6.710071532,0.297411638,0.999745952,60.00004318,0.999196415
0.222,6.651146832,0.280337928,0.999744204,60.00004422,0.999131155
0.223,6.687835231,0.262695754,0.99974223,60.00004421,1.00098498
0.224,6.707200113,0.342375876,0.999739203,60.00004421,0.998695735
0.225,6.655459427,0.295119451,0.999737888,60.00004421,0.999696372
0.226,6.708129208,0.307849564,0.999736369,60.00004365,1.000973869
0.227,6.698965649,0.378262865,0.99973348,60.00004317,0.998565639
0.228,6.667298929,0.313865336,0.999731791,60.0000372,1.000265491
0.229,6.726528956,0.354616792,0.999729383,60.00003197,1.000615783
0.23,6.68990671,0.396759022,0.99972863,60.00002741,0.998728101
0.231,6.686641079,0.338286314,0.999726411,60.00002629,1.000759465
0.232,6.738680392,0.402188276,0.999725526,60.00002532,0.99984479
0.233,6.68472973,0.403268881,0.999723862,60.00002447,0.999098552
0.234,6.709931134,0.370150972,0.99972141,60.00002574,1.00109555
0.235,6.743490197,0.446698716,0.999718596,60.00002684,0.999098858
0.236,6.68675949,0.411725593,0.999718731,60.00002781,0.999602343
0.237,6.733441587,0.407805939,0.999717425,60.00002824,1.00120294
0.238,6.739781447,0.484294462,0.999714809,60.00002862,0.998760777
0.239,6.69641805,0.425767873,0.999712637,60.00002945,1.000148619
0.24,6.753748261,0.452696583,0.999710717,60.00003017,1.00099779
0.241,6.73018435,0.510672478,0.999710314,60.0000308,0.998764219
0.242,6.711612825,0.444202404,0.999707945,60.0000308,1.000668437
0.243,6.767935312,0.496325903,0.999706997,60.00003086,1.000419737
0.244,6.720335971,0.51735843,0.999706045,60.00003092,0.999018471
0.245,6.731424538,0.469205889,0.999703044,60.00003097,1.001071977
0.246,6.775241176,0.539598058,0.999702212,60.00003228,0.999530759
0.247,6.717341086,0.520081912,0.999699287,60.00003342,0.999449221
0.248,6.754642026,0.499553417,0.999699257,60.00003441,1.001287517
0.249,6.774941147,0.576847137,0.999698745,60.00003346,0.998983448
0.25,6.724222705,0.527100973,0.999695079,60.00003262,0.999970064
0.251,6.834682832,0.575215989,0.999617954,60.00002954,1.001231041
0.252,6.901942491,0.712322729,0.999615037,60.00002685,0.998808483
0.253,6.922292657,0.700024974,0.999608052,60.00002449,1.000494964
0.254,7.021279085,0.775765316,0.999598072,60.00005418,1.000832207
0.255,7.018989048,0.845089166,0.999586578,60.00008014,0.998933177
0.256,7.043275682,0.800476945,0.999582993,60.00010283,1.000953829
0.257,7.116288645,0.876330046,0.99957719,60.0001229,1.0000288
0.258,7.080078857,0.886682681,0.999570784,60.00014045,0.999273905
0.259,7.118162831,0.858027833,0.999568304,60.0001558,1.001262484
0.26,7.159516645,0.937501884,0.999565737,60.00015971,0.999257772
0.261,7.110361429,0.903662313,0.999558764,60.00016314,0.999753805
0.262,7.162875798,0.901581107,0.999556351,60.00016613,1.001347113
0.263,7.173877741,0.978398921,0.999548249,60.00014853,0.998897784
0.264,7.139201481,0.919309152,0.999542485,60.00013315,1.000278462
0.265,7.203194552,0.947138826,0.999535599,60.00011164,1.001120601
0.266,7.186589123,1.007049513,0.99952852,60.00009283,0.99888014
0.267,7.174610308,0.940396937,0.999548044,60.00007639,1.000777568
0.268,7.236956577,0.994017637,0.999586304,60.0000741,1.000522159
0.269,7.194989246,1.015946494,0.999584297,60.00007211,0.999114908
0.27,7.212384606,0.967808537,0.999587953,60.00007036,1.001162596
0.271,7.260481761,1.038517247,0.999590207,60.00005369,0.999615733
0.272,7.207743469,1.018527893,0.999589528,60.00003912,0.9995297
0.273,7.24921697,0.996804141,0.99958769,60.00002637,1.0013635
0.274,7.272578458,1.073120983,0.999588299,60.00002091,0.999055391
0.275,7.227160032,1.021460262,0.999584583,60.00001613,1.000038601
0.276,7.285410289,1.029672935,0.999581749,60.00001148,1.001299247
0.277,7.280592662,1.096707407,0.99957995,60.00000741,0.998875175
0.278,7.253991007,1.027742239,0.999579202,60.00000386,1.000559898
0.279,7.315663492,1.064957826,0.999577425,60.00000725,1.000895582
0.28,7.282991665,1.103330498,0.999578601,60.00001021,0.998993868
0.281,7.283258423,1.039492118,0.999578674,60.00001281,1.001011626
0.282,7.337915994,1.099187408,0.999578135,60.000016,1.00008376
0.283,7.285863746,1.097110712,0.999578387,60.00001878,0.999325043
0.284,7.313525282,1.058668159,0.999578776,60.00002122,1.00130985
0.285,7.348257354,1.131223256,0.999578163,60.00002066,0.999301515
0.286,7.294624456,1.090687769,0.999580324,60.00002018,0.999794205
0.287,7.342683738,1.082200181,0.999578712,60.00001975,1.001384317
0.288,7.350454128,1.153578703,0.999578893,60.00001845,0.998932575
0.289,7.309967014,1.089948391,0.999577453,60.00001732,1.000311565
0.29,7.369017616,1.110853601,0.999576492,60.00001266,1.001152107
0.291,7.346758105,1.164302916,0.999576185,60.00000859,0.998910832
0.292,7.331396443,1.092205213,0.999577678,60.00000503,1.0008078
0.293,7.389421586,1.139851173,0.999576164,60.00000364,1.000551915
0.294,7.342947034,1.155025151,0.999575398,60.00000242,0.999144163
0.295,7.356048938,1.101093572,0.999574934,60.00000136,1.001191331
0.296,7.400150069,1.167042853,0.999574805,59.99999947,0.999643844
0.297,7.343748945,1.141901185,0.999573261,59.99999781,0.99955631
0.298,7.381272168,1.115882619,0.999573736,59.99999636,1.001388695
0.299,7.401958541,1.187944004,0.999573123,60.00000132,0.999078889
0.3,7.352011285,1.132195439,0.999611798,60.00000566,1.000059989
0.301,7.387736263,1.131062619,0.999014984,59.97791004,1.000801992
0.302,7.382773055,1.19176242,0.999739682,59.95859103,0.998820177
0.303,7.355524189,1.114504004,0.999650407,59.94169973,1.000317277
0.304,7.397010796,1.138771006,0.99906853,59.93352064,0.999797102
0.305,7.37072923,1.176708074,1.000121053,59.92636936,0.99865012
0.306,7.36297438,1.098815153,0.99949312,59.92011674,1.000091943
0.307,7.400599045,1.15137962,0.999362494,59.91444969,0.998601618
0.308,7.362885102,1.151627783,1.00040509,59.90949478,0.9986246
0.309,7.377823485,1.09325778,0.999389484,59.90516252,0.999727812
0.31,7.402337276,1.162858199,0.999804644,59.90130759,0.997716543
0.311,7.361478514,1.126923669,1.000486995,59.89793708,0.998619801
0.312,7.392657197,1.097694792,0.999387951,59.89389922,0.999180764
0.313,7.399238921,1.169507609,1.000275005,59.89036878,0.997241019
0.314,7.36587201,1.102614111,1.000304162,59.88728198,0.99854874
0.315,7.407496882,1.109326146,0.999583018,59.8855601,0.998457114
0.316,7.395861508,1.166553231,1.00077892,59.8840546,0.997065669
0.317,7.375306988,1.08676935,1.000303303,59.88273829,0.998420642
0.318,7.415810696,1.12752974,1.000509662,59.90432632,0.997520874
0.319,7.38587593,1.152868831,1.000687724,59.92320152,0.997014411
0.32,7.383389616,1.080756771,1.000338786,59.93970479,0.998124256
0.321,7.415815755,1.147588714,1.000733362,59.94768099,0.99652046
0.322,7.3745171,1.134564794,1.000707856,59.95465487,0.99700978
