t|Main,Vload_1|Load_1,Qload_1|Load_1,Pload_1|Load_1
0,1.90E-29,2.64E-54,9.36E-39
0.001,0.001344137,1.07E-05,0.00011196
0.002,0.003767462,0.000323355,0.001676221
0.003,0.007093856,0.002227043,0.007759468
0.004,0.010807177,0.00847493,0.022222727
0.005,0.015026333,0.023555926,0.048323497
0.006,0.020014021,0.051895259,0.087993423
0.007,0.025114899,0.097927586,0.141860203
0.008,0.030602659,0.1670048,0.208149016
0.009,0.036842228,0.258915313,0.284724051
0.01,0.043045513,0.374617225,0.369322245
0.011,0.049570653,0.511738002,0.459879815
0.012,0.056868019,0.662315457,0.556786105
0.013,0.064025691,0.825053378,0.661209518
0.014,0.071978769,0.993774837,0.774792546
0.015,0.079723542,1.16007773,0.902176378
0.016,0.087757173,1.328612277,1.044687079
0.017,0.096613583,1.492308627,1.20273374
0.018,0.105173606,1.648746916,1.379011087
0.019,0.113938132,1.80452227,1.568451131
0.02,0.123451859,1.945612207,1.769586701
0.021,0.132519215,2.079521306,1.982702233
0.022,0.141701411,2.206217118,2.19822102
0.023,0.151583474,2.307314178,2.418824502
0.024,0.160949977,2.40364929,2.642558599
0.025,0.171012659,2.48334642,2.858676821
0.026,0.180499141,2.536468711,3.07730697
0.027,0.190064019,2.59001796,3.289341935
0.028,0.200299725,2.614749472,3.488036141
0.029,0.209937897,2.627171691,3.689140837
0.03,0.219631489,2.64013148,3.872696922
0.031,0.229970967,2.61453057,4.043761241
0.032,0.239703156,2.59499722,4.216132573
0.033,0.249460834,2.568912664,4.361186359
0.034,0.259846954,2.503909129,4.502067286
0.035,0.269621426,2.46102099,4.638921189
0.036,0.279392257,2.395017443,4.744134594
0.037,0.289790285,2.308070455,4.857883861
0.038,0.299575581,2.249295233,4.956792603
0.039,0.309981606,2.148056413,5.028655877
0.04,0.319736269,2.054642324,5.118951432
0.041,0.329517827,1.983798116,5.180597484
0.042,0.339905004,1.857296655,5.22908357
0.043,0.34966351,1.7677092,5.297620193
0.044,0.359434403,1.682211855,5.32498123
0.045,0.369809191,1.544228731,5.360614238
0.046,0.379571525,1.463898419,5.407016256
0.047,0.389323778,1.355888904,5.407080172
0.048,0.399695665,1.224050617,5.439031217
0.049,0.409458167,1.153435098,5.46254402
0.05,0.419190721,1.021462041,5.448043889
0.051,0.429565752,0.907063646,5.481851011
0.052,0.439326436,0.842040381,5.48416316
0.053,0.449691095,0.691884502,5.470690928
0.054,0.459424559,0.602296255,5.509264491
0.055,0.469177977,0.533983742,5.495458759
0.056,0.479533569,0.381374779,5.498731574
0.057,0.48927549,0.321069726,5.54117562
0.058,0.499017484,0.235537508,5.518930031
0.059,0.509371481,0.102296255,5.549883137
0.06,0.519120711,0.069738949,5.591001338
0.061,0.528849163,-0.039766888,5.572610097
0.062,0.539210488,-0.139575292,5.633807414
0.063,0.548962618,-0.151990385,5.667751778
0.064,0.559328187,-0.281024905,5.667107886
0.065,0.569051457,-0.340267552,5.753955658
0.066,0.578804556,-0.348551349,5.777430519
0.067,0.589162418,-0.487563731,5.808086888
0.068,0.598896422,-0.506170655,5.913310879
0.069,0.608645723,-0.532686132,5.92887723
0.07,0.618999934,-0.657400286,6.002520205
0.071,0.628745713,-0.638476745,6.115308554
0.072,0.63848375,-0.701614864,6.133456685
0.073,0.648845668,-0.78736644,6.254450375
0.074,0.658598644,-0.739387342,6.362930395
0.075,0.668325961,-0.836950185,6.400604589
0.076,0.67869634,-0.873197923,6.562871028
0.077,0.688454629,-0.812295791,6.657862631
0.078,0.698819872,-0.931763463,6.730878118
0.079,0.708554003,-0.914229117,6.921452557
0.08,0.718311312,-0.86787841,6.998923206
0.081,0.728672688,-0.987377381,7.120539608
0.082,0.738418849,-0.920260223,7.32258104
0.083,0.748168643,-0.921160929,7.388129063
0.084,0.758531454,-1.003883273,7.566006637
0.085,0.768288216,-0.898608732,7.760787155
0.086,0.77802621,-0.956279273,7.834043295
0.087,0.788398731,-0.986123679,8.065170374
0.088,0.79815981,-0.860194512,8.238933075
0.089,0.808536365,-0.961408995,8.343578287
0.09,0.81827014,-0.927730835,8.614738936
0.091,0.82803189,-0.809728202,8.75968324
0.092,0.838404126,-0.932106823,8.915824725
0.093,0.848147345,-0.834542022,9.20748604
0.094,0.857908145,-0.76456593,9.324823098
0.095,0.868276636,-0.861093964,9.545994271
0.096,0.878030325,-0.708423512,9.832470301
0.097,0.887779542,-0.713965268,9.938426709
0.098,0.898152419,-0.753113687,10.22502638
0.099,0.907915112,-0.566357795,10.48262589
0.1,0.918300515,-0.641102588,10.60652797
0.101,0.927713386,-0.60976657,10.93282733
0.102,0.936555544,-0.435364874,11.0989647
0.103,0.945292489,-0.556356743,11.16926051
0.104,0.952891293,-0.484853235,11.37359206
0.105,0.959926756,-0.419699662,11.35260956
0.106,0.966751899,-0.535321343,11.38540533
0.107,0.972586369,-0.422726154,11.52264104
0.108,0.977858292,-0.431074644,11.44553438
0.109,0.982842168,-0.49553227,11.53819683
0.11,0.986957222,-0.337472592,11.66077752
0.111,0.990510407,-0.398584615,11.60445916
0.112,0.993678759,-0.403803,11.75740543
0.113,0.996093725,-0.238020681,11.83166579
0.114,0.998036688,-0.343980741,11.80308983
0.115,0.999283783,-0.286490762,11.97118665
0.116,0.999973972,-0.16304191,11.97520585
0.117,1.000110675,-0.280831558,11.99061156
0.118,1.000104632,-0.16575808,12.15031215
0.119,1.000090116,-0.113642561,12.09883139
0.12,1.000073469,-0.188801117,12.16414077
0.121,1.000058042,-0.031061876,12.28807812
0.122,1.000047045,-0.050439103,12.2061438
0.123,1.000041471,-0.073033128,12.30967248
0.124,1.000034972,0.101405924,12.37482601
0.125,1.000034989,0.023325911,12.29271144
0.126,1.000034516,0.058069126,12.41903874
0.127,1.000033492,0.214870556,12.41935183
0.128,1.00002939,0.103135599,12.37336262
0.129,1.00002824,0.195021226,12.51109907
0.13,1.000022544,0.29471703,12.45773976
0.131,1.000017906,0.197181938,12.47101994
0.132,1.000013023,0.338833368,12.59639698
0.133,1.000008456,0.358084083,12.50969259
0.134,1.000003521,0.311087262,12.58115512
0.135,0.999999333,0.482682587,12.66548703
0.136,0.999995183,0.432780358,12.57196744
0.137,0.999991742,0.443033105,12.68135212
0.138,0.999987839,0.615800877,12.70473719
0.139,0.99998246,0.520479233,12.63102762
0.14,0.999978889,0.58923163,12.75676434
0.141,0.999974169,0.726098655,12.71690973
0.142,0.999969563,0.615958205,12.68657589
0.143,0.999968522,0.736019221,12.80816952
0.144,0.999962556,0.797133989,12.71955292
0.145,0.999959504,0.723656167,12.74788174
0.146,0.999954391,0.882286757,12.84283493
0.147,0.999951806,0.863071438,12.7357754
0.148,0.999949675,0.841267739,12.81736073
0.149,0.99994475,1.015421255,12.86473174
0.15,0.999940285,0.937833296,12.77178422
0.151,0.999937452,0.976400871,12.88714672
0.152,0.999931918,1.13508403,12.87525256
0.153,0.999928875,1.026303664,12.81890912
0.154,0.99992515,1.122051386,12.94271015
0.155,0.999919612,1.223793383,12.87303438
0.156,0.999918658,1.127670628,12.86900551
0.157,0.999914845,1.269656885,12.9757565
0.158,0.999910786,1.288609368,12.86830723
0.159,0.999909111,1.238924031,12.91906444
0.16,0.999904252,1.407012532,12.98587096
0.161,0.999902502,1.353183959,12.87547046
0.162,0.9999006,1.358021916,12.97050428
0.163,0.999895452,1.52588071,12.98352024
0.164,0.999892863,1.42556322,12.90119542
0.165,0.999889476,1.48961112,13.01993944
0.166,0.999885477,1.621932283,12.97563235
0.167,0.99988387,1.50829733,12.94222085
0.168,0.999879603,1.625995451,13.05971312
0.169,0.999876487,1.684108294,12.96726386
0.17,0.999872577,1.608668459,12.99122108
0.171,0.99987017,1.765268428,13.0798688
0.172,0.999865921,1.743573544,12.96586629
0.173,0.999863431,1.718733116,13.03969559
0.174,0.999860557,1.889096864,13.0786873
0.175,0.999856625,1.806857927,12.97665875
0.176,0.999853103,1.839365479,13.08345116
0.177,0.999851703,1.99168715,13.0642604
0.178,0.999848632,1.875890952,13.00125952
0.179,0.999845066,1.964099145,13.12004613
0.18,0.999842482,2.058825135,13.0471386
0.181,0.999840848,1.955785535,13.04060261
0.182,0.999837551,2.091328296,13.14585274
0.183,0.999836354,2.104461165,13.03825343
0.184,0.999831784,2.049906199,13.08886603
0.185,0.99982943,2.213607697,13.15502099
0.186,0.999826942,2.155804938,13.04395269
0.187,0.999825261,2.15703548,13.13730422
0.188,0.999822204,2.320978686,13.14774334
0.189,0.999817934,2.216548625,13.06240591
0.19,0.99981732,2.27596626,13.17742343
0.191,0.999813795,2.403024811,13.12904474
0.192,0.999812451,2.283339583,13.09141001
0.193,0.999810791,2.394211563,13.20514471
