Time (s), Pload_1 (MW), P_BESS (MW), P_g1 (MW), P_g2 (MW), Pload_2 (MW), P_g3 (MW), P_g4 (MW), Qload_1 (MVar), Q_BESS (MVar), Q_g1 (MVar), Q_g2 (MVar), Qload_2 (MVar), Q_g3 (MVar), Q_g4 (MVar), Vload_1 (p.u.), V_BESS (p.u.), V_g1 (p.u.), V_g2 (p.u.), Vload_2 (p.u.), V_g3 (p.u.), V_g4 (p.u.), f_poi_meas (Hz)
0.0,15.2099399269,-0.0312522272878,7.6133346153,7.6133346153,15.2099395036,7.6133346153,7.6133346153,5.19540093168,-1.210063449,2.90038575163,2.90038575163,5.19540083613,2.90038575163,2.90038575163,1.00529039939,1.00529038722,1.00529039939,1.00529039939,1.00529039939,1.00529039939,1.00529039939,60.0000820199
0.0010000000000012221,15.2928766334,0.0193428179665,7.64215379487,7.64215379487,15.2928762036,7.64215379487,7.64215379487,5.24690463705,-1.20971678548,2.92605119949,2.92605119949,5.24690454422,2.92605119949,2.92605119949,1.0052993819,1.00529937728,1.0052993819,1.0052993819,1.0052993819,1.0052993819,1.0052993819,60.0000202453
0.0019999999999988916,15.2519057563,-0.0132853328612,7.62982609298,7.62982609298,15.2519054096,7.62982609298,7.62982609298,5.33003620733,-1.18238620727,2.96078422132,2.96078422132,5.33003614567,2.96078422132,2.96078422132,1.00529647497,1.00529649159,1.00529647497,1.00529647497,1.00529647497,1.00529647497,1.00529647497,60.0002551837
0.0030000000000001137,15.2193312426,-0.0216122572435,7.61562008414,7.61562008414,15.2193308538,7.61562008414,7.61562008414,5.18341246382,-1.25285143791,2.90508858882,2.90508858882,5.18341240116,2.90508858882,2.90508858882,1.00527988789,1.00527991363,1.00527988789,1.00527988789,1.00527988789,1.00527988789,1.00527988789,60.0004605989
0.004000000000001336,15.3024467919,0.0282530376084,7.64471152128,7.64471152128,15.3024463948,7.64471152128,7.64471152128,5.28540511367,-1.18708115697,2.93964258638,2.93964258638,5.28540504687,2.93964258638,2.93964258638,1.00530095968,1.00530100181,1.00530095968,1.00530095968,1.00530095968,1.00530095968,1.00530095968,60.0009277838
0.004999999999999005,15.2263443935,-0.0268205639362,7.62042922309,7.62042922309,15.2263439162,7.62042922309,7.62042922309,5.28897714728,-1.15663504894,2.9338167542,2.9338167542,5.28897706912,2.9338167542,2.9338167542,1.00529875151,1.00529879735,1.00529875151,1.00529875151,1.00529875151,1.00529875151,1.00529875151,60.0013362605
0.006000000000000227,15.2460824437,0.00301246613922,7.62283935459,7.62283935459,15.2460818837,7.62283935459,7.62283935459,5.18425214672,-1.21449323386,2.89591895124,2.89591895124,5.18425203103,2.89591895124,2.89591895124,1.00529469261,1.00529473918,1.00529469261,1.00529469261,1.00529469261,1.00529469261,1.00529469261,60.0013362605
0.0070000000000014495,15.3003731208,0.00966004190594,7.6483229086,7.6483229086,15.3003725413,7.6483229086,7.6483229086,5.31796943276,-1.14418111531,2.94519974919,2.94519974919,5.31796930681,2.94519974919,2.94519974919,1.00529540685,1.00529539629,1.00529540685,1.00529540685,1.00529540685,1.00529540685,1.00529540685,60.0016934065
0.007999999999999119,15.2096981593,-0.0631409502972,7.62118602398,7.62118602398,15.2096975664,7.62118602398,7.62118602398,5.24354345346,-1.16563331968,2.9133494444,2.9133494444,5.24354332818,2.91334944441,2.91334944441,1.00528781026,1.00528772877,1.00528781026,1.00528781026,1.00528781026,1.00528781026,1.00528781026,60.0038710187
0.009000000000000341,15.2635000704,-0.0373508121406,7.64163871301,7.64163871301,15.2634994827,7.64163871302,7.64163871302,5.20083866929,-1.1778369769,2.89504819095,2.89504819096,5.20083854944,2.89504819096,2.89504819096,1.00531453788,1.00531435032,1.00531453788,1.00531453788,1.00531453788,1.00531453788,1.00531453788,60.0057749842
0.010000000000001563,15.2877369259,-0.0494510724454,7.65678270927,7.65678270927,15.2877363242,7.65678270928,7.65678270928,5.34009534666,-1.08648969701,2.94183983491,2.94183983492,5.34009523456,2.94183983492,2.94183983492,1.00529800119,1.00529770405,1.00529800119,1.00529800119,1.00529800119,1.00529800119,1.00529800119,60.0074396903
0.010999999999999233,15.2090833103,-0.108959520954,7.63233301762,7.63233301762,15.2090827314,7.63233301762,7.63233301762,5.20919870505,-1.13664257279,2.88892947998,2.88892947998,5.20919860373,2.88892947998,2.88892947998,1.00532833069,1.00532793603,1.00532833069,1.00532833069,1.00532833069,1.00532833069,1.00532833069,60.0070044923
0.012000000000000455,15.2883497779,-0.0736833176904,7.6631467215,7.6631467215,15.2883492033,7.6631467215,7.6631467215,5.23026194615,-1.15136389298,2.90314167711,2.90314167711,5.23026185474,2.90314167711,2.90314167711,1.00528852243,1.00528800946,1.00528852243,1.00528852243,1.00528852243,1.00528852243,1.00528852243,60.0066239828
0.013000000000001677,15.2652626808,-0.121664896411,7.66359916661,7.66359916661,15.2652620419,7.66359916661,7.66359916661,5.34104444168,-1.10829700476,2.94776616982,2.94776616982,5.34104434698,2.94776616982,2.94776616982,1.00532493377,1.00532428694,1.00532493377,1.00532493377,1.00532493377,1.00532493377,1.00532493377,60.0062912896
0.013999999999999346,15.2149845859,-0.160884440995,7.64826481746,7.64826481746,15.2149839229,7.64826481746,7.64826481746,5.1863244778,-1.18917304905,2.89062503306,2.89062503306,5.18632436665,2.89062503306,2.89062503306,1.00531439401,1.00531361438,1.00531439401,1.00531439401,1.00531439401,1.00531439401,1.00531439401,60.0076336394
0.015000000000000568,15.2992083639,-0.123965646236,7.6811467708,7.6811467708,15.299207842,7.6811467708,7.6811467708,5.26497564822,-1.15289376585,2.92088105538,2.92088105538,5.2649755713,2.92088105538,2.92088105538,1.00534181467,1.00534092275,1.00534181467,1.00534181467,1.00534181467,1.00534181467,1.00534181467,60.0088073045
0.015999999999998238,15.2391198844,-0.179219347729,7.66491664437,7.66491664437,15.2391195132,7.66491664437,7.66491664437,5.30911085433,-1.12202670444,2.93523164746,2.93523164746,5.30911083086,2.93523164746,2.93523164746,1.00532670355,1.00532571155,1.00532670355,1.00532670355,1.00532670355,1.00532670355,1.00532670355,60.0075558674
