t|Main,V_BESS2|BESS_2,freq_BESS_2|BESS_2,Vrms_BESS_2|BESS_2,Q_BESS2|BESS_2,P_BESS2|BESS_2
0.033,0.249460834,0.167277277,60,0.206316868,-0.026960025
0.034,0.259846954,0.176177434,60,0.224484053,-0.028745878
0.035,0.269621426,0.183828844,60,0.242319798,-0.030257526
0.036,0.279392257,0.192417849,60,0.26127831,-0.031626136
0.037,0.289790285,0.201498326,60,0.281995918,-0.033837335
0.038,0.299575581,0.209164791,60,0.302741819,-0.035561946
0.039,0.309981606,0.218335911,60,0.324235124,-0.036859609
0.04,0.319736269,0.227417408,60,0.346941198,-0.03889504
0.041,0.329517827,0.235306336,60,0.370677933,-0.040947203
0.042,0.339905004,0.244913555,60,0.395480438,-0.042494136
0.043,0.34966351,0.253757078,60,0.42022724,-0.044296296
0.044,0.359434403,0.262131972,60,0.446384192,-0.04654469
0.045,0.369809191,0.272047492,60,0.474615838,-0.04878718
0.046,0.379571525,0.280448249,60,0.501702202,-0.051320157
0.047,0.389323778,0.289532218,60,0.52989031,-0.05253639
0.048,0.399695665,0.299588517,60,0.561184667,-0.055503328
0.049,0.409458167,0.307706061,60,0.591306977,-0.05840641
0.05,0.419190721,0.317441586,60,0.622552219,-0.060096465
0.051,0.429565752,0.327391512,60,0.655315707,-0.062920548
0.052,0.439326436,0.335515025,60,0.689086203,-0.065550293
0.053,0.449691095,0.345743152,60,0.72391034,-0.06723036
0.054,0.459424559,0.355353338,60,0.758288133,-0.069653981
0.055,0.469177977,0.363782822,60,0.794771368,-0.072361962
0.056,0.479533569,0.374329768,60,0.83368899,-0.075062319
0.057,0.48927549,0.383344702,60,0.870266151,-0.077762446
0.058,0.499017484,0.392425244,60,0.908666578,-0.080370261
0.059,0.509371481,0.403110458,60,0.950606749,-0.083441148
0.06,0.519120711,0.411523318,60,0.990342887,-0.086284806
0.061,0.528849163,0.421417009,60,1.031779353,-0.088446155
0.062,0.539210488,0.432003398,60,1.075826044,-0.091507748
0.063,0.548962618,0.440153962,60,1.119358175,-0.094634423
0.064,0.559328187,0.45067691,60,1.16594596,-0.096372052
0.065,0.569051457,0.460908067,60,1.210388992,-0.098673075
0.066,0.578804556,0.469203438,60,1.256469369,-0.101681449
0.067,0.589162418,0.480134664,60,1.306874579,-0.104604952
0.068,0.598896422,0.489723057,60,1.354154401,-0.106918739
0.069,0.608645723,0.498556763,60,1.403168427,-0.110230878
0.07,0.618999934,0.50968726,60,1.456397845,-0.113535585
0.071,0.628745713,0.518420417,60,1.50654487,-0.117147609
0.072,0.63848375,0.528153654,60,1.55677962,-0.118549274
0.073,0.648845668,0.539283422,60,1.612335733,-0.122754035
0.074,0.658598644,0.547430969,60,1.665784905,-0.126592183
0.075,0.668325961,0.557957743,60,1.72241446,-0.128313716
0.076,0.67869634,0.568751789,60,1.777833308,-0.131736654
0.077,0.688454629,0.57680171,60,1.835722583,-0.13572273
0.078,0.698819872,0.587909786,60,1.896509635,-0.137611561
0.079,0.708554003,0.59808505,60,1.953777628,-0.13988601
0.08,0.718311312,0.606488638,60,2.013513797,-0.142729551
0.081,0.728672688,0.617937169,60,2.078009169,-0.14651565
0.082,0.738418849,0.627139014,60,2.138669429,-0.147941781
0.083,0.748168643,0.636429591,60,2.20088428,-0.147068813
0.084,0.758531454,0.647954697,60,2.268705787,-0.15197595
0.085,0.768288216,0.656232503,60,2.332252384,-0.154871529
0.086,0.77802621,0.666569386,60,2.398633589,-0.154697314
0.087,0.788398731,0.677887281,60,2.465452219,-0.157329906
0.088,0.79815981,0.685729442,60,2.533514879,-0.164214123
0.089,0.808536365,0.696838938,60,2.606396153,-0.161956655
0.09,0.81827014,0.70756614,60,2.672177898,-0.164743206
0.091,0.82803189,0.715512928,60,2.741500388,-0.170602791
0.092,0.838404126,0.72717461,60,2.82144995,-0.173176633
0.093,0.848147345,0.736923616,60,2.886805405,-0.175336955
0.094,0.857908145,0.745634303,60,2.962100434,-0.176689423
0.095,0.868276636,0.757505037,60,3.043538195,-0.179838268
0.096,0.878030325,0.766026155,60,3.113839771,-0.181205961
0.097,0.887779542,0.775927641,60,3.189318924,-0.183560187
0.098,0.898152419,0.787686376,60,3.271940864,-0.186066446
0.099,0.907915112,0.795449572,60,3.349899725,-0.192532604
0.1,0.918300515,0.806364842,60,3.433864001,-0.192318363
0.101,0.927713386,0.817478918,59.96322258,3.508858107,-0.189988241
0.102,0.936555544,0.824408032,59.93106676,3.585131578,-0.19074781
0.103,0.945292489,0.834851232,59.92846022,3.663568817,-0.185207153
0.104,0.952891293,0.843687117,59.92618123,3.725064785,-0.181189464
0.105,0.959926756,0.849847876,59.93655981,3.79025567,-0.178831945
0.106,0.966751899,0.859379741,59.94563417,3.857994038,-0.176250486
0.107,0.972586369,0.865764481,59.95356822,3.913164497,-0.174347737
0.108,0.977858292,0.871912104,59.96050524,3.968052419,-0.166814453
0.109,0.982842168,0.880437154,59.94967975,4.022650749,-0.166787333
0.11,0.986957222,0.88468888,59.94021463,4.071536613,-0.165858706
0.111,0.990510407,0.891067992,59.95890266,4.122895354,-0.161163301
0.112,0.993678759,0.898302675,59.97524228,4.16447923,-0.159218216
0.113,0.996093725,0.901300166,59.98818615,4.209282111,-0.160345952
0.114,0.998036688,0.907681606,59.99950345,4.255779492,-0.15601992
0.115,0.999283783,0.913400054,60.00939857,4.288288988,-0.155142145
0.116,0.999973972,0.915867405,60.01805023,4.325584776,-0.154462597
0.117,1.000110675,0.922049514,60.07883539,4.368441746,-0.153126014
0.118,1.000104632,0.926023454,60.13198206,4.393216857,-0.150017095
0.119,1.000090116,0.928652042,60.17845013,4.427129099,-0.147565401
0.12,1.000073469,0.93439911,60.1754908,4.459816147,-0.14902893
0.121,1.000058042,0.936467896,60.17290335,4.48569746,-0.15096984
0.122,1.000047045,0.939785131,60.23365518,4.514378628,-0.145046588
0.123,1.000041471,0.944878008,60.28677271,4.541095864,-0.146923957
0.124,1.000034972,0.945708415,60.33321529,4.565821616,-0.146632762
0.125,1.000034989,0.949550948,60.28986062,4.594470417,-0.14354099
0.126,1.000034516,0.953621715,60.25195406,4.609165996,-0.141934195
0.127,1.000033492,0.953946899,60.21881098,4.633144478,-0.145546415
0.128,1.00002939,0.958054942,60.17289519,4.66077385,-0.144002594
0.129,1.00002824,0.960848076,60.13274935,4.67300592,-0.141696991
0.13,1.000022544,0.96128808,60.15767383,4.690676628,-0.140504668
0.131,1.000017906,0.965410344,60.1794662,4.713985389,-0.141160501
0.132,1.000013023,0.96660542,60.19852007,4.725536888,-0.140727352
0.133,1.000008456,0.967826095,60.21517956,4.74088665,-0.139006341
0.134,1.000003521,0.971656603,60.17101675,4.759197142,-0.139214064
0.135,0.999999333,0.971469382,60.1324036,4.773145508,-0.141612954
0.136,0.999995183,0.9736059,60.11832074,4.789007318,-0.135464562
0.137,0.999991742,0.976841211,60.10600758,4.798308425,-0.135152843
0.138,0.999987839,0.975984776,59.99597917,4.810854008,-0.136310083
0.139,0.99998246,0.978708727,59.89977733,4.827599997,-0.131158075
0.14,0.999978889,0.980984936,59.81566457,4.83203221,-0.132377693
0.141,0.999974169,0.980110216,59.74212174,4.843265425,-0.133615592
0.142,0.999969563,0.983159949,59.76971104,4.859932843,-0.132299319
0.143,0.999968522,0.984153138,59.79383337,4.863671218,-0.131648936
0.144,0.999962556,0.983920683,59.82314283,4.871655727,-0.127639305
0.145,0.999959504,0.986982506,59.84876915,4.885058516,-0.128690731
0.146,0.999954391,0.986467864,59.87117518,4.890275479,-0.132860898
0.147,0.999951806,0.987366875,59.84866076,4.898160671,-0.1255672
0.148,0.999949675,0.990135038,59.82897559,4.905298905,-0.127195208
0.149,0.99994475,0.988722892,59.81176413,4.912917528,-0.133939996
0.15,0.999940285,0.990496058,59.82400611,4.92506787,-0.126763204
0.151,0.999937452,0.992588942,59.83470972,4.926194704,-0.127752825
0.152,0.999931918,0.990979597,59.84406827,4.934105023,-0.130687419
0.153,0.999928875,0.993285294,59.84095634,4.945882428,-0.130837276
0.154,0.99992515,0.99434736,59.83823546,4.94297116,-0.12945573
0.155,0.999919612,0.993152551,59.91270777,4.950144439,-0.129533676
0.156,0.999918658,0.995714228,59.97782162,4.960823624,-0.129909796
0.157,0.999914845,0.995428233,60.03475301,4.960392478,-0.129618363
0.158,0.999910786,0.995244495,60.0373247,4.963017716,-0.127014571
0.159,0.999909111,0.997716576,60.03957322,4.970574721,-0.128697439
0.16,0.999904252,0.996246445,60.04153918,4.973232297,-0.130500842
0.161,0.999902502,0.99719935,60.04198979,4.978981532,-0.124899155
0.162,0.9999006,0.999267385,60.04238377,4.978872769,-0.125314717
0.163,0.999895452,0.99729491,60.02156802,4.984212822,-0.128376767
0.164,0.999892863,0.999004572,60.00336804,4.994406161,-0.124797509
0.165,0.999889476,1.000260099,59.98745515,4.990912044,-0.12566405
0.166,0.999885477,0.998482907,59.97354193,4.994662438,-0.126843838
0.167,0.99988387,1.000628971,59.96692963,5.004919005,-0.128796445
0.168,0.999879603,1.0007301,59.96114825,5.001284737,-0.127527864
0.169,0.999876487,0.999707815,59.99016527,5.002887753,-0.124727072
0.17,0.999872577,1.00197354,60.01553589,5.010375482,-0.126616477
0.171,0.99987017,1.000789375,59.97816183,5.011104686,-0.126553674
0.172,0.999865921,1.00093564,59.94548432,5.012753243,-0.12444187
0.173,0.999863431,1.003022051,59.91691319,5.013478222,-0.124247822
0.174,0.999860557,1.001027582,59.89193242,5.01589955,-0.129228424
0.175,0.999856625,1.002166673,59.87674436,5.022080216,-0.126229338
0.176,0.999853103,1.003663601,59.8634649,5.01724784,-0.127494899
0.177,0.999851703,1.001536296,59.87287183,5.019697632,-0.131329993
0.178,0.999848632,1.003314185,59.88109665,5.030385204,-0.127714228
0.179,0.999845066,1.00388534,59.88828791,5.023365458,-0.126292528
0.18,0.999842482,1.002243672,59.87527208,5.023755956,-0.124883517
0.181,0.999840848,1.004343708,59.86389187,5.033326285,-0.128250821
0.182,0.999837551,1.003608416,59.85394174,5.027406331,-0.126385749
0.183,0.999836354,1.003053646,59.86715027,5.030093134,-0.123517915
0.184,0.999831784,1.005128898,59.87869897,5.032717286,-0.126750707
0.185,0.99982943,1.00330853,59.88879641,5.033586883,-0.128583934
0.186,0.999826942,1.003899885,59.89777993,5.036968749,-0.122841922
0.187,0.999825261,1.005630517,59.90563454,5.035007356,-0.124388221
0.188,0.999822204,1.003366816,59.97918673,5.035645629,-0.127735796
0.189,0.999817934,1.004758716,60.04349608,5.044627997,-0.123989922
0.19,0.99981732,1.00575202,60.09972408,5.036417881,-0.124896528
0.191,0.999813795,1.003679665,60.14888626,5.036814353,-0.122543478
0.192,0.999812451,1.005590279,60.13871518,5.044414038,-0.125440747
0.193,0.999810791,1.005455388,60.12982223,5.039386248,-0.125234765
0.194,0.99980503,1.004158055,60.09938839,5.040099961,-0.120785906
0.195,0.999803606,1.006238393,60.07277899,5.048415741,-0.122834863
0.196,0.999801401,1.004802045,60.03376179,5.044817564,-0.127491226
0.197,0.999799508,1.004793945,59.99964763,5.046587484,-0.121203464
0.198,0.99979612,1.006690941,59.96982039,5.046551514,-0.124581538
0.199,0.999795036,1.004505939,59.94374135,5.046580986,-0.123972514
0.2,0.999791254,1.005468326,59.95697069,5.050093683,-0.122758835
0.201,0.999787142,1.006786911,59.96853759,5.044508354,-0.122317686
0.202,0.999787098,1.004552753,59.95288418,5.045599045,-0.125404362
0.203,0.999784351,1.006158002,59.93919784,5.053095541,-0.128982113
0.204,0.999780412,1.00654984,59.91429289,5.044547325,-0.126633203
0.205,0.99977757,1.004766565,59.89251759,5.04640473,-0.12799881
0.206,0.999777785,1.006774394,59.87347865,5.052438482,-0.130192435
0.207,0.99977392,1.005908089,59.85683222,5.047548362,-0.132962509
0.208,0.999773424,1.005209245,59.89237921,5.047859977,-0.12858549
0.209,0.999771296,1.007208354,59.92345923,5.051016493,-0.132002336
0.21,0.999767107,1.005267968,59.95063362,5.049556956,-0.135745045
0.211,0.999767512,1.005760948,59.96673268,5.052657095,-0.130756797
0.212,0.99976581,1.007389206,59.98080866,5.047372957,-0.132474582
0.213,0.999762147,1.005024874,60.01141757,5.048022321,-0.133083044
0.214,0.99976157,1.006367704,60.03818004,5.055691966,-0.132019626
0.215,0.999757349,1.007251739,60.06157945,5.045858837,-0.129920081
0.216,0.999756409,1.005137771,60.07155281,5.046728618,-0.130373312
0.217,0.999754092,1.006952639,60.08027288,5.05676041,-0.131203639
0.218,0.999753254,1.006741406,60.08789716,5.048466539,-0.131757084
0.219,0.999750915,1.005429403,60.10197492,5.050079123,-0.127397589
0.22,0.99974675,1.007430285,60.11428362,5.052418513,-0.131287745
0.221,0.999745952,1.005925689,60.0719885,5.048885189,-0.131854579
0.222,0.999744204,1.005834519,60.03500835,5.05112466,-0.126129647
0.223,0.99974223,1.007675541,60.00267526,5.049380676,-0.127465255
0.224,0.999739203,1.005446545,59.97440526,5.048983051,-0.128169165
0.225,0.999737888,1.006365551,59.98791995,5.051410941,-0.125735011
0.226,0.999736369,1.007673023,59.99973632,5.043878917,-0.123658661
0.227,0.99973348,1.005312675,60.00134045,5.045487061,-0.125885959
0.228,0.999731791,1.006924619,60.00274299,5.050449626,-0.125671526
0.229,0.999729383,1.007298545,60.0603881,5.042982799,-0.126196996
0.23,0.99972863,1.005467891,60.11078931,5.043200956,-0.126319749
0.231,0.999726411,1.007412266,60.15485692,5.049903599,-0.127670747
0.232,0.999725526,1.006543161,60.19338683,5.044442441,-0.126887498
0.233,0.999723862,1.005807339,60.15509426,5.045588492,-0.127646889
0.234,0.99972141,1.007751698,60.12161367,5.047754404,-0.129056898
0.235,0.999718596,1.00578655,60.11147975,5.047645353,-0.132367106
0.236,0.999718731,1.006253519,60.10261928,5.050551255,-0.128428399
0.237,0.999717425,1.007883416,60.09487226,5.047244588,-0.129366633
0.238,0.999714809,1.005488946,60.11256014,5.048080419,-0.133961021
0.239,0.999712637,1.006777541,60.1280253,5.052448109,-0.131002412
0.24,0.999710717,1.007654755,60.14154705,5.042801799,-0.130230033
0.241,0.999710314,1.00550656,60.11566087,5.044660325,-0.131828817
0.242,0.999707945,1.007291167,60.11566087,5.050995486,-0.132035417
0.243,0.999706997,1.007087052,60.09302764,5.044546007,-0.129260387
0.244,0.999706045,1.005743075,60.07323859,5.043160593,-0.128788463
0.245,0.999703044,1.007685758,60.08982956,5.050268099,-0.129829161
0.246,0.999702212,1.006214243,60.10433565,5.047685217,-0.130250171
0.247,0.999699287,1.006093246,60.09123635,5.0489441,-0.127055704
0.248,0.999699257,1.007945634,60.07978316,5.048596787,-0.128786984
0.249,0.999698745,1.005684448,60.06976921,5.048426267,-0.130796684
0.25,0.999695079,1.006593391,60.0552618,5.052376948,-0.129947382
0.251,0.999617954,1.007781332,60.04257745,5.045984589,-0.12706122
0.252,0.999615037,1.00546545,60.03148706,5.049989834,-0.130525288
0.253,0.999608052,1.00704525,59.99504902,5.056192986,-0.128119079
0.254,0.999598072,1.007416756,59.96318991,5.04814218,-0.127894376
0.255,0.999586578,1.005581022,59.99450265,5.04991243,-0.125799809
0.256,0.999582993,1.007510512,60.02188052,5.057037256,-0.129199802
0.257,0.99957719,1.006601065,60.04581798,5.050402082,-0.128424454
0.258,0.999570784,1.005867649,60.06674737,5.05141751,-0.126412388
0.259,0.999568304,1.007815309,60.05640097,5.05403445,-0.129158508
0.26,0.999565737,1.005855886,60.04735474,5.051526723,-0.132818396
0.261,0.999558764,1.006302152,60.02996839,5.055562131,-0.126305179
0.262,0.999556351,1.007908372,60.01476687,5.050410995,-0.127171052
0.263,0.999548249,1.00549892,60.00902301,5.050809414,-0.12873834
0.264,0.999542485,1.006814101,60.00400095,5.059904357,-0.128272483
0.265,0.999535599,1.00766751,59.99960998,5.050095577,-0.126335647
0.266,0.99952852,1.005514405,59.99577079,5.05127032,-0.127472479
0.267,0.999548044,1.007305162,60.06126009,5.061528031,-0.12708369
0.268,0.999586304,1.007081078,60.11851977,5.051205755,-0.12748299
0.269,0.999584297,1.005735988,60.16858399,5.05114547,-0.124319919
0.27,0.999587953,1.007734875,60.13870958,5.056510932,-0.129259123
0.271,0.999590207,1.006190031,60.1125893,5.051678517,-0.130802526
0.272,0.999589528,1.006077094,60.0770622,5.052951452,-0.12691751
0.273,0.99958769,1.007894688,60.04599956,5.0538721,-0.129408786
0.274,0.999588299,1.005650528,60.01884037,5.052546846,-0.129450535
0.275,0.999584583,1.006541124,59.99457866,5.057005394,-0.126675758
0.276,0.999581749,1.007807172,59.97336576,5.052746804,-0.128321427
0.277,0.99957995,1.005455,59.95481855,5.053525964,-0.130299111
0.278,0.999579202,1.007042077,59.95258594,5.061530701,-0.129661253
0.279,0.999577425,1.007405685,59.95063387,5.052240373,-0.128035501
0.28,0.999578601,1.00557906,59.97533551,5.052030271,-0.129099817
0.281,0.999578674,1.007508174,59.99693305,5.060616739,-0.130440356
0.282,0.999578135,1.006608639,60.01581656,5.054330687,-0.132521305
0.283,0.999578387,1.005897388,60.0323271,5.051444173,-0.128905006
0.284,0.999578776,1.007837266,59.98211031,5.055458399,-0.132478517
0.285,0.999578163,1.005851266,59.93820394,5.051845464,-0.135116376
0.286,0.999580324,1.006292626,59.98318632,5.056401135,-0.131830129
0.287,0.999578712,1.007886234,60.02251604,5.050228888,-0.131629107
0.288,0.999578893,1.005523642,60.05690345,5.052107284,-0.135534978
0.289,0.999577453,1.006792807,59.99534101,5.056637837,-0.13280311
0.29,0.999576492,1.007662149,59.94151475,5.049819166,-0.134122809
0.291,0.999576185,1.00548787,59.89445248,5.049128988,-0.132938516
0.292,0.999577678,1.007317361,59.90378404,5.056699008,-0.13535587
0.293,0.999576164,1.007073807,59.91194295,5.047598549,-0.136106049
0.294,0.999575398,1.005735182,59.91907658,5.049793418,-0.132220317
0.295,0.999574934,1.007717663,59.92844045,5.05687774,-0.135372091
0.296,0.999574805,1.006196766,59.93662762,5.050795374,-0.13615513
0.297,0.999573261,1.006074947,59.90060011,5.053931078,-0.132136078
0.298,0.999573736,1.007911728,59.86909995,5.053874769,-0.133003096
0.299,0.999573123,1.005635584,59.84155822,5.053559846,-0.137444522
0.3,0.999611798,1.006545937,59.82761053,5.058898917,-0.134676769
0.301,0.999014984,1.007255182,59.81541557,5.060977932,-0.127971222
0.302,0.999739682,1.005367512,59.80475306,5.040835509,-0.15290813
0.303,0.999650407,1.006772928,59.83406003,5.056860582,-0.121572864
0.304,0.99906853,1.006119782,59.85968418,5.057844041,-0.136826194
0.305,1.000121053,1.005167793,59.941144,5.034185743,-0.145201063
0.306,0.99949312,1.006424413,60.01236729,5.066650918,-0.119288085
0.307,0.999362494,1.004871975,60.07464039,5.053977793,-0.143421239
0.308,1.00040509,1.005103898,60.12908802,5.023585298,-0.131775425
0.309,0.999389484,1.00593929,60.14357603,5.072280887,-0.121228373
0.31,0.999804644,1.003873689,60.15624342,5.046642458,-0.146092178
0.311,1.000486995,1.00495226,60.15229724,5.024585589,-0.118283415
0.312,0.999387951,1.005260685,60.14884695,5.067045054,-0.12591157
0.313,1.000275005,1.003367345,60.14070865,5.040644188,-0.145683685
0.314,1.000304162,1.004738945,60.13359305,5.038311882,-0.109386845
0.315,0.999583018,1.004457591,60.12737162,5.059517638,-0.132192967
0.316,1.00077892,1.003201907,60.121932,5.030686827,-0.142322866
0.317,1.000303303,1.004429262,60.11879838,5.058079678,-0.108445941
0.318,1.000509662,1.003430311,60.11605854,5.050424653,-0.138102877
0.319,1.000687724,1.003113006,60.09988647,5.019053821,-0.133978473
0.32,1.000338786,1.00397846,60.08574663,5.070199241,-0.115990215
0.321,1.000733362,1.002346422,60.07338367,5.042285081,-0.147396514
0.322,1.000707856,1.003041633,60.08653708,5.008397346,-0.117904007
0.323,1.000466615,1.003419984,60.09803759,5.071809985,-0.125147881
0.324,1.000922536,1.001669454,60.1080929,5.031190317,-0.145704265
0.325,1.000612818,1.00272909,60.07485235,5.018000633,-0.10679742
0.326,1.000629153,1.002663228,60.04578893,5.060282767,-0.133912899
0.327,1.000985477,1.00125659,60.02037773,5.020609261,-0.139338359
0.328,1.000542039,1.002284051,60.02178035,5.038841458,-0.103319964
0.329,1.000880698,1.001842288,60.02300671,5.04410083,-0.140380601
0.33,1.000993335,1.00096721,60.05909673,5.006242222,-0.129056429
0.331,1.000578246,1.001774826,60.09065155,5.06259435,-0.111091228
0.332,1.001103349,1.000742861,60.11824107,5.029116537,-0.144014955
0.333,1.000908894,1.000612191,60.14236359,4.994624054,-0.115903968
0.334,1.000668427,1.001096751,60.09444726,5.07232233,-0.122747484
0.335,1.001241438,0.999701667,60.05255227,5.012396531,-0.138279605
0.336,1.000782136,1.000142347,60.03026614,4.993220322,-0.10429602
0.337,1.000934771,1.000425745,60.01078058,5.063172289,-0.136368633
0.338,1.001232924,0.998945213,60.01441562,4.999159873,-0.132546733
0.339,1.000654922,0.999574346,60.01759386,5.017458558,-0.100479812
0.34,1.001143985,0.999650483,60.02037272,5.04602985,-0.141255768
0.341,1.001041049,0.998236348,60.02280237,4.992513295,-0.125776122
0.342,1.000691224,0.9990304,59.98700913,5.049903269,-0.108467811
0.343,1.001286206,0.998725274,59.9557138,5.020631976,-0.144093353
0.344,1.000878806,0.99766411,59.91459396,4.98628198,-0.118761023
0.345,1.000838632,0.998518517,59.87864139,5.069910258,-0.11906813
0.346,1.00118234,0.997521793,59.89693885,5.002196043,-0.140113338
0.347,1.000775185,0.997315457,59.91293699,4.981919399,-0.11200509
0.348,1.000932869,0.997986165,59.92692474,5.068075905,-0.133815659
0.349,1.001003255,0.996574147,59.93915474,4.991901052,-0.13444944
0.35,1.000737177,0.997106739,59.93583585,4.996577737,-0.102453094
0.351,1.000938408,0.997447745,59.93293403,5.05608859,-0.142478036
0.352,1.000861718,0.995966222,59.93039686,4.989012375,-0.127958173
0.353,1.000769804,0.996866089,59.90624311,5.028207702,-0.105267635
0.354,1.000886195,0.996852446,59.8851246,5.030575975,-0.148507737
0.355,1.000759694,0.995655183,59.89503903,4.984387207,-0.125792066
0.356,1.000799071,0.996676515,59.90370758,5.057785316,-0.117952819
0.357,1.000853319,0.996106157,59.9112868,5.006411447,-0.145049667
0.358,1.000775757,0.995497359,59.91884327,4.978600882,-0.118000663
0.359,1.000829735,0.996431157,59.92545015,5.069489128,-0.130049517
0.36,1.000798617,0.995219679,59.9312268,4.992155128,-0.142246016
0.361,1.000800597,0.995516884,59.95939995,4.985071396,-0.111425735
0.362,1.000823104,0.996114631,59.98403276,5.06155538,-0.143727919
0.363,1.000824995,0.994685694,59.98781684,4.98644197,-0.136691516
0.364,1.000848111,0.995538613,59.9911254,5.010542451,-0.109046809
0.365,1.000870275,0.995789461,59.9940182,5.040901161,-0.149807078
0.366,1.000865482,0.994441367,59.99654747,4.985776421,-0.127875058
0.367,1.000904434,0.995554055,59.99849295,5.041882476,-0.113372697
0.368,1.000872961,0.995300055,60.00019395,5.014754047,-0.148306742
0.369,1.000881801,0.994446563,60.01915951,4.977753581,-0.124737808
0.37,1.000906353,0.995473879,60.03574179,5.062253867,-0.126406294
0.371,1.000915623,0.99462602,60.04149455,4.996617402,-0.14674778
0.372,1.000922594,0.994572816,60.0465244,4.975734592,-0.117763586
0.373,1.000942467,0.995402059,60.05092218,5.066648662,-0.139786494
0.374,1.000930191,0.994094353,60.05476732,4.987420442,-0.140405921
0.375,1.000972754,0.994772817,60.04913309,4.993681717,-0.109464434
0.376,1.000994495,0.995257714,60.04420688,5.052596053,-0.147636451
0.377,1.001009138,0.993876894,60.03140965,4.985198766,-0.128471061
0.378,1.001024487,0.994892135,60.02022056,5.024430827,-0.108283837
0.379,1.00104055,0.994979368,60.0206267,5.025079066,-0.146809919
0.38,1.001060572,0.99389643,60.02098181,4.981686321,-0.122763538
0.381,1.001063386,0.994994571,60.0212923,5.055278535,-0.115419009
0.382,1.001073553,0.994532971,60.02156376,5.005008884,-0.14294678
0.383,1.001104042,0.994056658,60.01896942,4.976230017,-0.117548252
0.384,1.001116915,0.995060029,60.01670108,5.070014362,-0.127739693
0.385,1.001161758,0.993958031,60.0147178,4.992114647,-0.13697932
0.386,1.001147838,0.994293398,60.0191034,4.984202456,-0.105821033
0.387,1.001200176,0.995045613,60.02293789,5.061191883,-0.138402087
0.388,1.001163581,0.993606934,60.01738395,4.984924592,-0.131252057
0.389,1.001216269,0.994568425,60.01252794,5.010943231,-0.103069771
0.39,1.001231561,0.994881852,60.00828216,5.038760665,-0.144651275
0.391,1.001259263,0.993651423,60.01294955,4.986267832,-0.123186753
0.392,1.001263467,0.994758183,60.01703041,5.041638276,-0.108936761
0.393,1.001252377,0.994633042,60.02059846,5.016705749,-0.143482992
0.394,1.001295325,0.993827575,60.01805117,4.981642196,-0.117214445
0.395,1.001311033,0.994915356,60.01582397,5.064806241,-0.121156626
0.396,1.001359996,0.994132757,60.02116083,4.99880097,-0.138834625
0.397,1.001384093,0.994146891,60.02582704,4.978853616,-0.107646544
0.398,1.001404301,0.994986149,60.02990687,5.069650846,-0.130454927
0.399,1.001416089,0.993745924,60.03347402,4.992054626,-0.133555799
0.4,1.001440806,0.994453263,60.02996295,4.996985749,-0.105424313
0.401,1.001477456,0.994995589,60.02689309,5.055979353,-0.142950367
0.402,1.001495048,0.9936549,60.01560034,4.988432979,-0.126190741
0.403,1.00153273,0.994698313,60.00572667,5.028041472,-0.10833123
0.404,1.001526107,0.994842574,60.0033645,5.032281803,-0.147622114
0.405,1.001588204,0.993802936,60.00129916,4.987030413,-0.121380662
0.406,1.001593183,0.994913318,59.99949337,5.06049687,-0.117495275
