t|Main,Q_BESS1|BESS_1,V_BESS1|BESS_1,freq_BESS_1|BESS_1,Vrms_BESS_1|BESS_1,P_BESS1|BESS_1
0.048,0.561184667,0.399695665,60,0.299588517,-0.055503328
0.049,0.591306977,0.409458167,60,0.307706061,-0.05840641
0.05,0.622552219,0.419190721,60,0.317441586,-0.060096465
0.051,0.655315707,0.429565752,60,0.327391512,-0.062920548
0.052,0.689086203,0.439326436,60,0.335515025,-0.065550293
0.053,0.72391034,0.449691095,60,0.345743152,-0.06723036
0.054,0.758288133,0.459424559,60,0.355353338,-0.069653981
0.055,0.794771368,0.469177977,60,0.363782822,-0.072361962
0.056,0.83368899,0.479533569,60,0.374329768,-0.075062319
0.057,0.870266151,0.48927549,60,0.383344702,-0.077762446
0.058,0.908666578,0.499017484,60,0.392425244,-0.080370261
0.059,0.950606749,0.509371481,60,0.403110458,-0.083441148
0.06,0.990342887,0.519120711,60,0.411523318,-0.086284806
0.061,1.031779353,0.528849163,60,0.421417009,-0.088446155
0.062,1.075826044,0.539210488,60,0.432003398,-0.091507748
0.063,1.119358175,0.548962618,60,0.440153962,-0.094634423
0.064,1.16594596,0.559328187,60,0.45067691,-0.096372052
0.065,1.210388992,0.569051457,60,0.460908067,-0.098673075
0.066,1.256469369,0.578804556,60,0.469203438,-0.101681449
0.067,1.306874579,0.589162418,60,0.480134664,-0.104604952
0.068,1.354154401,0.598896422,60,0.489723057,-0.106918739
0.069,1.403168427,0.608645723,60,0.498556763,-0.110230878
0.07,1.456397845,0.618999934,60,0.50968726,-0.113535585
0.071,1.50654487,0.628745713,60,0.518420417,-0.117147609
0.072,1.55677962,0.63848375,60,0.528153654,-0.118549274
0.073,1.612335733,0.648845668,60,0.539283422,-0.122754035
0.074,1.665784905,0.658598644,60,0.547430969,-0.126592183
0.075,1.72241446,0.668325961,60,0.557957743,-0.128313716
0.076,1.777833308,0.67869634,60,0.568751789,-0.131736654
0.077,1.835722583,0.688454629,60,0.57680171,-0.13572273
0.078,1.896509635,0.698819872,60,0.587909786,-0.137611561
0.079,1.953777628,0.708554003,60,0.59808505,-0.13988601
0.08,2.013513797,0.718311312,60,0.606488638,-0.142729551
0.081,2.078009169,0.728672688,60,0.617937169,-0.14651565
0.082,2.138669429,0.738418849,60,0.627139014,-0.147941781
0.083,2.20088428,0.748168643,60,0.636429591,-0.147068813
0.084,2.268705787,0.758531454,60,0.647954697,-0.15197595
0.085,2.332252384,0.768288216,60,0.656232503,-0.154871529
0.086,2.398633589,0.77802621,60,0.666569386,-0.154697314
0.087,2.465452219,0.788398731,60,0.677887281,-0.157329906
0.088,2.533514879,0.79815981,60,0.685729442,-0.164214123
0.089,2.606396153,0.808536365,60,0.696838938,-0.161956655
0.09,2.672177898,0.81827014,60,0.70756614,-0.164743206
0.091,2.741500388,0.82803189,60,0.715512928,-0.170602791
0.092,2.82144995,0.838404126,60,0.72717461,-0.173176633
0.093,2.886805405,0.848147345,60,0.736923616,-0.175336955
0.094,2.962100434,0.857908145,60,0.745634303,-0.176689423
0.095,3.043538195,0.868276636,60,0.757505037,-0.179838268
0.096,3.113839771,0.878030325,60,0.766026155,-0.181205961
0.097,3.189318924,0.887779542,60,0.775927641,-0.183560187
0.098,3.271940864,0.898152419,60,0.787686376,-0.186066446
0.099,3.349899725,0.907915112,60,0.795449572,-0.192532604
0.1,3.433864001,0.918300515,60,0.806364842,-0.192318363
0.101,3.508858107,0.927713386,59.96322258,0.817478918,-0.189988241
0.102,3.585131578,0.936555544,59.93106676,0.824408032,-0.19074781
0.103,3.663568817,0.945292489,59.92846022,0.834851232,-0.185207153
0.104,3.725064785,0.952891293,59.92618123,0.843687117,-0.181189464
0.105,3.79025567,0.959926756,59.93655981,0.849847876,-0.178831945
0.106,3.857994038,0.966751899,59.94563417,0.859379741,-0.176250486
0.107,3.913164497,0.972586369,59.95356822,0.865764481,-0.174347737
0.108,3.968052419,0.977858292,59.96050524,0.871912104,-0.166814453
0.109,4.022650749,0.982842168,59.94967975,0.880437154,-0.166787333
0.11,4.071536613,0.986957222,59.94021463,0.88468888,-0.165858706
0.111,4.122895354,0.990510407,59.95890266,0.891067992,-0.161163301
0.112,4.16447923,0.993678759,59.97524228,0.898302675,-0.159218216
0.113,4.209282111,0.996093725,59.98818615,0.901300166,-0.160345952
0.114,4.255779492,0.998036688,59.99950345,0.907681606,-0.15601992
0.115,4.288288988,0.999283783,60.00939857,0.913400054,-0.155142145
0.116,4.325584776,0.999973972,60.01805023,0.915867405,-0.154462597
0.117,4.368441746,1.000110675,60.07883539,0.922049514,-0.153126014
0.118,4.393216857,1.000104632,60.13198206,0.926023454,-0.150017095
0.119,4.427129099,1.000090116,60.17845013,0.928652042,-0.147565401
0.12,4.459816147,1.000073469,60.1754908,0.93439911,-0.14902893
0.121,4.48569746,1.000058042,60.17290335,0.936467896,-0.15096984
0.122,4.514378628,1.000047045,60.23365518,0.939785131,-0.145046588
0.123,4.541095864,1.000041471,60.28677271,0.944878008,-0.146923957
0.124,4.565821616,1.000034972,60.33321529,0.945708415,-0.146632762
0.125,4.594470417,1.000034989,60.28986062,0.949550948,-0.14354099
0.126,4.609165996,1.000034516,60.25195406,0.953621715,-0.141934195
0.127,4.633144478,1.000033492,60.21881098,0.953946899,-0.145546415
0.128,4.66077385,1.00002939,60.17289519,0.958054942,-0.144002594
0.129,4.67300592,1.00002824,60.13274935,0.960848076,-0.141696991
0.13,4.690676628,1.000022544,60.15767383,0.96128808,-0.140504668
0.131,4.713985389,1.000017906,60.1794662,0.965410344,-0.141160501
0.132,4.725536888,1.000013023,60.19852007,0.96660542,-0.140727352
0.133,4.74088665,1.000008456,60.21517956,0.967826095,-0.139006341
0.134,4.759197142,1.000003521,60.17101675,0.971656603,-0.139214064
0.135,4.773145508,0.999999333,60.1324036,0.971469382,-0.141612954
0.136,4.789007318,0.999995183,60.11832074,0.9736059,-0.135464562
0.137,4.798308425,0.999991742,60.10600758,0.976841211,-0.135152843
0.138,4.810854008,0.999987839,59.99597917,0.975984776,-0.136310083
0.139,4.827599997,0.99998246,59.89977733,0.978708727,-0.131158075
0.14,4.83203221,0.999978889,59.81566457,0.980984936,-0.132377693
0.141,4.843265425,0.999974169,59.74212174,0.980110216,-0.133615592
0.142,4.859932843,0.999969563,59.76971104,0.983159949,-0.132299319
0.143,4.863671218,0.999968522,59.79383337,0.984153138,-0.131648936
0.144,4.871655727,0.999962556,59.82314283,0.983920683,-0.127639305
0.145,4.885058516,0.999959504,59.84876915,0.986982506,-0.128690731
0.146,4.890275479,0.999954391,59.87117518,0.986467864,-0.132860898
0.147,4.898160671,0.999951806,59.84866076,0.987366875,-0.1255672
0.148,4.905298905,0.999949675,59.82897559,0.990135038,-0.127195208
