t|Main,Vload_3|Load_3,Qload_3|Load_3,Pload_3|Load_3
0,1.90E-29,1.05E-55,1.25E-39
0.001,0.001344137,1.07E-05,0.00011196
0.002,0.003767462,0.000323355,0.001676221
0.003,0.007093856,0.002227043,0.007759468
0.004,0.010807177,0.00847493,0.022222727
0.005,0.015026333,0.023555926,0.048323497
0.006,0.020014021,0.051895259,0.087993423
0.007,0.025114899,0.097927586,0.141860203
0.008,0.030602659,0.1670048,0.208149016
0.009,0.036842228,0.258915313,0.284724051
0.01,0.043045513,0.374617225,0.369322245
0.011,0.049570653,0.511738001,0.459879814
0.012,0.056868019,0.662315456,0.556786105
0.013,0.064025691,0.825053376,0.661209517
0.014,0.071978769,0.993774833,0.774792546
0.015,0.079723542,1.160077725,0.902176377
0.016,0.087757173,1.328612271,1.044687078
0.017,0.096613583,1.49230862,1.202733739
0.018,0.105173606,1.648746908,1.379011085
0.019,0.113938132,1.80452226,1.568451129
0.02,0.123451859,1.945612195,1.769586697
0.021,0.132519215,2.079521291,1.982702229
0.022,0.141701411,2.206217102,2.198221014
0.023,0.151583474,2.307314159,2.418824495
0.024,0.160949977,2.40364927,2.642558591
0.025,0.171012659,2.483346398,2.858676811
0.026,0.180499141,2.536468686,3.077306956
0.027,0.190064019,2.590017933,3.289341917
0.028,0.200299725,2.61474944,3.488036116
0.029,0.209937897,2.627171653,3.689140805
0.03,0.219631489,2.640131438,3.872696883
0.031,0.229970967,2.614530523,4.043761196
0.032,0.239703156,2.594997171,4.216132525
0.033,0.249460834,2.568912613,4.361186308
0.034,0.259846954,2.503909079,4.502067237
0.035,0.269621426,2.461020944,4.638921145
0.036,0.279392257,2.3950174,4.74413455
0.037,0.289790285,2.308070413,4.857883815
0.038,0.299575581,2.249295193,4.956792555
0.039,0.309981606,2.148056372,5.028655823
0.04,0.319736269,2.054642281,5.118951371
0.041,0.329517827,1.98379807,5.180597414
0.042,0.339905004,1.857296605,5.229083491
0.043,0.34966351,1.767709149,5.29762011
0.044,0.359434403,1.682211804,5.324981145
0.045,0.369809191,1.544228682,5.360614155
0.046,0.379571525,1.463898374,5.407016176
0.047,0.389323778,1.355888862,5.407080096
0.048,0.399695665,1.224050578,5.439031143
0.049,0.409458167,1.153435062,5.462543943
0.05,0.419190721,1.021462005,5.448043809
0.051,0.429565752,0.907063612,5.481850931
0.052,0.439326436,0.842040346,5.484163074
0.053,0.449691095,0.691884464,5.470690828
0.054,0.459424559,0.602296213,5.509264375
0.055,0.469177977,0.533983693,5.495458623
0.056,0.479533569,0.381374725,5.498731425
0.057,0.48927549,0.321069672,5.541175474
0.058,0.499017484,0.235537458,5.518929895
0.059,0.509371481,0.10229621,5.549883006
0.06,0.519120711,0.069738908,5.59100121
0.061,0.528849163,-0.039766927,5.572609966
0.062,0.539210488,-0.139575333,5.633807272
0.063,0.548962618,-0.151990429,5.66775162
0.064,0.559328187,-0.281024953,5.667107714
0.065,0.569051457,-0.340267606,5.753955462
0.066,0.578804556,-0.348551412,5.777430295
0.067,0.589162418,-0.487563804,5.808086636
0.068,0.598896422,-0.506170737,5.913310595
0.069,0.608645723,-0.532686227,5.928876911
0.07,0.618999934,-0.657400392,6.002519852
0.071,0.628745713,-0.63847686,6.115308174
0.072,0.63848375,-0.701614987,6.133456284
0.073,0.648845668,-0.787366567,6.254449957
0.074,0.658598644,-0.739387472,6.362929961
0.075,0.668325961,-0.836950318,6.400604149
0.076,0.67869634,-0.87319805,6.562870604
0.077,0.688454629,-0.812295908,6.657862233
0.078,0.698819872,-0.931763569,6.730877741
0.079,0.708554003,-0.914229212,6.921452207
0.08,0.718311312,-0.867878489,6.998922897
0.081,0.728672688,-0.987377443,7.120539331
0.082,0.738418849,-0.920260274,7.322580784
0.083,0.748168643,-0.921160969,7.388128829
0.084,0.758531454,-1.003883299,7.566006443
0.085,0.768288216,-0.89860874,7.760787005
0.086,0.77802621,-0.956279264,7.834043187
0.087,0.788398731,-0.986123647,8.065170329
0.088,0.79815981,-0.860194456,8.238933072
0.089,0.808536365,-0.961408924,8.343578312
0.09,0.81827014,-0.927730754,8.61473899
0.091,0.82803189,-0.809728107,8.75968333
0.092,0.838404126,-0.932106716,8.91582484
0.093,0.848147345,-0.834541907,9.207486171
0.094,0.857908145,-0.764565806,9.324823259
0.095,0.868276636,-0.86109383,9.545994452
0.096,0.878030325,-0.708423369,9.832470511
0.097,0.887779542,-0.713965121,9.93842692
0.098,0.898152419,-0.753113545,10.22502658
0.099,0.907915112,-0.566357657,10.48262607
0.1,0.918300515,-0.641102457,10.60652813
0.101,0.927713386,-0.60976645,10.93282747
0.102,0.936555544,-0.435364761,11.09896484
0.103,0.945292489,-0.556356623,11.16926067
0.104,0.952891293,-0.484853108,11.37359223
0.105,0.959926756,-0.419699528,11.35260975
0.106,0.966751899,-0.535321197,11.38540556
0.107,0.972586369,-0.42272599,11.52264133
0.108,0.977858292,-0.431074453,11.44553475
0.109,0.982842168,-0.495532045,11.5381973
0.11,0.986957222,-0.337472329,11.6607781
0.111,0.990510407,-0.398584308,11.60445985
0.112,0.993678759,-0.403802656,11.75740622
0.113,0.996093725,-0.238020307,11.83166664
0.114,0.998036688,-0.343980345,11.80309074
0.115,0.999283783,-0.286490355,11.97118759
0.116,0.999973972,-0.163041489,11.97520684
0.117,1.000110675,-0.280831124,11.99061259
