t|Main,AllBesses,All_LM_Power,all_Loads
0.0,1.375e-38,-1.0251999999999998e-39,1.273e-38
0.001,-5e-05,0.0004976,0.00044784
0.002,-0.000238506,0.006943392,0.006704884
0.003,-0.00063501,0.03167288000000001,0.031037872
0.004,-0.000944138,0.08983504799999999,0.088890908
0.005,-0.001581748,0.194875736,0.193293988
0.006,-0.002291238,0.3542649359999999,0.351973694
0.007,-0.003150234,0.5705910479999999,0.567440812
0.008,-0.003975986,0.836572048,0.832596064
0.009,-0.004966014,1.1438622160000003,1.138896204
0.01,-0.0062651,1.4835540799999998,1.47728898
0.011,-0.00748219,1.847001448,1.839519259
0.012,-0.008754448,2.2358988639999997,2.22714442
0.013,-0.010103854,2.65494192,2.644838069
0.014,-0.011719074,3.110889256,3.099170184
0.015,-0.013162698,3.6218682079999995,3.608705508
0.016,-0.014968704,4.193717016,4.178748312
0.017,-0.016300188,4.827235144,4.810934957
0.018,-0.017904868,5.533949208000001,5.516044342
0.019,-0.020492136,6.294296656,6.273804517
0.02,-0.022046672,7.100393464,7.07834679
0.021,-0.02379291,7.954601824,7.930808915999999
0.022,-0.02574217,8.818626232,8.792884057999999
0.023,-0.027856268,9.703154248000002,9.675297982
0.024,-0.030439758,10.60067412,10.570234365
0.025,-0.032558716,11.467265960000002,11.434707246
0.026,-0.034860636,12.344088471999997,12.309227832
0.027,-0.038173688,13.195541375999998,13.157367684999999
0.028,-0.040564976,13.992709472,13.952144496
0.029,-0.043643694,14.800206959999999,14.756563264999999
0.03,-0.045856332,15.536643920000001,15.490787587
0.031,-0.047914236,16.22295908,16.175044847000002
0.032,-0.051188302,16.915718472,16.864530167999998
0.033,-0.05392005,17.49866536,17.444745306999998
0.034,-0.057491756,18.065760768,18.008269014
0.035,-0.060515052,18.616199679999998,18.555684631000002
0.036,-0.063252272,19.03979052,18.976538247
0.037,-0.06767467,19.499209968,19.431535303
0.038,-0.071123892,19.898294152000002,19.827170256
0.039,-0.073719218,20.188342543999998,20.11462333
0.04,-0.07779008,20.553595599999998,20.475805523
0.041,-0.081894406,20.804284104,20.722389701
0.042,-0.084988272,21.00132228,20.916334012
0.043,-0.088592592,21.279073072,21.190480483
0.044,-0.09308938,21.393013999999997,21.299924618
0.045,-0.09757436,21.540031,21.442456644
0.046,-0.102640314,21.730705024,21.62806471
0.047,-0.10507278,21.733393151999998,21.628320373
0.048,-0.111006656,21.867131207999996,21.756124550000003
0.049,-0.11681282,21.966988568,21.850175753000002
0.05,-0.12019293,21.91236816,21.792175227999998
0.051,-0.125841096,22.053244823999997,21.927403731
0.052,-0.131100586,22.067752928,21.936652339000002
0.053,-0.13446072,22.017224128000002,21.882763407000002
0.054,-0.139307962,22.176365616,22.037057655
0.055,-0.144723924,22.126558648,21.981834723
0.056,-0.150124638,22.145050631999997,21.994925995000003
0.057,-0.155524892,22.32022712,22.164702225
0.058,-0.160740522,22.23646044,22.075719921
